hrsn_measure,disease,acs_proxy,cms_outcome,primary_beta,primary_se,primary_pvalue,v3_beta,v3_se,v3_pvalue,same_direction,inflation_ratio,v2_beta,v2_same_direction
loneliness,diabetes,pct_living_alone,cms_diabetes_prev,-0.0667,,0.0134931109880095,-0.0856,0.0202,2.205921715283755e-05,True,0.7792056074766355,0.2225,False
loneliness,depression,pct_living_alone,cms_depression_prev,0.086,,0.2025393147903587,-0.0172,0.0306,0.5746095720567854,False,,0.2594,True
loneliness,casthma,pct_living_alone,cms_asthma_prev,-0.0553,,0.3695209982854353,-0.0909,0.031,0.0033229452606554,True,0.6083608360836085,0.2097,False
loneliness,obesity,pct_living_alone,cms_obesity_prev,-0.3809,,6.368249827029981e-22,-0.1122,0.0235,1.8017699404467765e-06,True,3.394830659536542,0.2762,False
loneliness,chd,pct_living_alone,cms_chd_prev,-0.2188,,1.0970058763493372e-60,-0.1111,0.0253,1.0943911542040671e-05,True,1.9693969396939692,0.3121,False
loneliness,copd,pct_living_alone,cms_copd_prev,-0.136,,2.4594937136263577e-18,0.0562,0.0242,0.020478657973233,False,2.419928825622776,0.2696,False
loneliness,stroke,pct_living_alone,cms_stroke_prev,-0.1328,,1.4099120176025074e-14,-0.0906,0.0247,0.0002535846043263,True,1.465783664459161,0.3098,False
foodstamp,diabetes,pct_snap,cms_diabetes_prev,0.5013,,9.899217160816015e-116,0.1987,0.0478,3.24274242533866e-05,True,2.5228988424760947,0.0931,True
foodstamp,depression,pct_snap,cms_depression_prev,0.2496,,1.673795527146644e-09,0.2114,0.0618,0.0006317077455624,True,1.1807000946073793,-0.0331,False
foodstamp,casthma,pct_snap,cms_asthma_prev,0.6438,,6.371916487766494e-42,0.2718,0.0416,6.347014509222999e-11,True,2.3686534216335544,0.2489,True
foodstamp,obesity,pct_snap,cms_obesity_prev,0.2086,,2.89091620028156e-13,0.1564,0.0432,0.0002937840600125,True,1.3337595907928388,0.1625,True
foodstamp,chd,pct_snap,cms_chd_prev,0.4127,,8.578430175163425e-93,0.0343,0.0472,0.4679504542326644,True,,-0.0725,False
foodstamp,copd,pct_snap,cms_copd_prev,0.5427,,1.9120569330765884e-134,0.2884,0.0401,6.630531145265211e-13,True,1.881761442441054,0.1627,True
foodstamp,stroke,pct_snap,cms_stroke_prev,0.5395,,9.206592998093536e-228,0.0511,0.0388,0.188475472251234,True,,-0.019,False
foodinsecu,diabetes,pct_snap,cms_diabetes_prev,0.7325,,9.534322913263735e-303,0.1987,0.0478,3.24274242533866e-05,True,3.686462003019628,0.1477,True
foodinsecu,depression,pct_snap,cms_depression_prev,-0.0516,,0.5565202393000057,0.2114,0.0618,0.0006317077455624,False,0.24408703878902555,-0.2173,True
foodinsecu,casthma,pct_snap,cms_asthma_prev,0.3473,,5.900550658344958e-08,0.2718,0.0416,6.347014509222999e-11,True,1.277777777777778,0.1543,True
foodinsecu,obesity,pct_snap,cms_obesity_prev,0.2198,,0.0019001917945385,0.1564,0.0432,0.0002937840600125,True,1.4053708439897696,-0.1344,False
foodinsecu,chd,pct_snap,cms_chd_prev,0.4652,,1.511754283730579e-42,0.0343,0.0472,0.4679504542326644,True,,0.2388,True
foodinsecu,copd,pct_snap,cms_copd_prev,0.6189,,3.2059514525811674e-42,0.2884,0.0401,6.630531145265211e-13,True,2.145977808599168,0.0997,True
