hrsn_measure,hrsn_label,outcome,outcome_label,odds_ratio,or_lower,or_upper,coef,se,pvalue,n_obs,n_cases,significant_05,significant_001
foodinsecu,Food insecurity,diabetes,Diabetes,1.401,1.237,1.587,0.3375,0.0636,1.0994042698471748e-07,182347,25772,True,True
foodinsecu,Food insecurity,depression,Depression,2.162,1.954,2.392,0.7711,0.0516,1.6919275889982122e-50,181843,38876,True,True
foodinsecu,Food insecurity,casthma,Asthma,1.67,1.489,1.872,0.5126,0.0584,1.7005893159173697e-18,182053,27484,True,True
foodinsecu,Food insecurity,obesity,Obesity,1.249,1.131,1.379,0.2224,0.0506,1.0895371618378439e-05,175360,60702,True,True
foodinsecu,Food insecurity,chd,Coronary heart disease,1.855,1.461,2.355,0.6177,0.1218,3.9853457362485184e-07,181078,10169,True,True
foodinsecu,Food insecurity,copd,COPD,1.967,1.722,2.246,0.6764,0.0678,1.992931674597697e-23,181965,14153,True,True
foodinsecu,Food insecurity,stroke,Stroke,1.983,1.583,2.483,0.6845,0.1148,2.518070464887466e-09,182126,7725,True,True
foodstamp,Food stamps/SNAP,diabetes,Diabetes,1.463,1.326,1.613,0.3802,0.0501,3.198416331754916e-14,182863,25858,True,True
foodstamp,Food stamps/SNAP,depression,Depression,1.675,1.55,1.811,0.516,0.0399,2.376070443259801e-38,182354,38956,True,True
foodstamp,Food stamps/SNAP,casthma,Asthma,1.601,1.471,1.742,0.4705,0.043,8.001266793780301e-28,182572,27547,True,True
foodstamp,Food stamps/SNAP,obesity,Obesity,1.384,1.283,1.492,0.3247,0.0383,2.456795311394714e-17,175837,60824,True,True
foodstamp,Food stamps/SNAP,chd,Coronary heart disease,1.435,1.224,1.683,0.3614,0.0813,8.855112993923548e-06,181584,10200,True,True
foodstamp,Food stamps/SNAP,copd,COPD,1.906,1.689,2.151,0.645,0.0616,1.1766036936465534e-25,182485,14204,True,True
foodstamp,Food stamps/SNAP,stroke,Stroke,1.534,1.304,1.805,0.4281,0.0829,2.448680175657541e-07,182643,7753,True,True
housinsecu,Housing insecurity,diabetes,Diabetes,1.416,1.284,1.562,0.3477,0.05,3.542447650960226e-12,182396,25784,True,True
housinsecu,Housing insecurity,depression,Depression,2.108,1.961,2.266,0.7457,0.0369,7.684984103801694e-91,181885,38863,True,True
housinsecu,Housing insecurity,casthma,Asthma,1.612,1.476,1.761,0.4776,0.0449,2.039652651409771e-26,182100,27467,True,True
housinsecu,Housing insecurity,obesity,Obesity,1.334,1.245,1.429,0.2883,0.0351,2.1176922155490443e-16,175406,60699,True,True
housinsecu,Housing insecurity,chd,Coronary heart disease,1.982,1.663,2.362,0.6839,0.0895,2.2145608761017612e-14,181116,10180,True,True
housinsecu,Housing insecurity,copd,COPD,2.086,1.866,2.332,0.7353,0.0569,3.2161269886668e-38,182015,14162,True,True
housinsecu,Housing insecurity,stroke,Stroke,1.911,1.61,2.269,0.6477,0.0876,1.4291822912016843e-13,182174,7739,True,True
shututility,Utility shutoff threat,diabetes,Diabetes,1.41,1.268,1.568,0.3437,0.0541,2.0674911539421362e-10,182278,25794,True,True
shututility,Utility shutoff threat,depression,Depression,2.024,1.866,2.195,0.7051,0.0415,9.273177157637397e-65,181768,38857,True,True
shututility,Utility shutoff threat,casthma,Asthma,1.589,1.452,1.738,0.4628,0.0459,6.889463545472881e-24,181986,27480,True,True
