hrsn_measure,hrsn_label,outcome,outcome_label,coef,se,odds_ratio,or_lower,or_upper,pvalue,significant_05,n_individuals,n_mmsas,analysis_level
loneliness,Loneliness/Social isolation,diabetes,Diabetes,0.007,0.0163,1.0071,0.9754,1.0397,0.6658738717391094,False,111141,88,contextual
loneliness,Loneliness/Social isolation,depression,Depression,-0.0091,0.0188,0.9909,0.955,1.0282,0.6284521986330568,False,110821,88,contextual
loneliness,Loneliness/Social isolation,casthma,Asthma,0.0563,0.0149,1.0579,1.0274,1.0892,0.0001582235198102495,True,110980,88,contextual
loneliness,Loneliness/Social isolation,obesity,Obesity,-0.0733,0.0328,0.9293,0.8714,0.9911,0.02559545163602043,True,105729,88,contextual
loneliness,Loneliness/Social isolation,chd,Coronary heart disease,0.0081,0.024,1.0082,0.9619,1.0567,0.7341973891697658,False,110517,88,contextual
loneliness,Loneliness/Social isolation,copd,COPD,0.0111,0.0372,1.0111,0.94,1.0876,0.7661546479200123,False,110935,88,contextual
loneliness,Loneliness/Social isolation,stroke,Stroke,0.0122,0.0274,1.0123,0.9593,1.0682,0.6570264263275064,False,111050,88,contextual
foodstamp,Food stamps/SNAP,diabetes,Diabetes,0.0139,0.0244,1.014,0.9667,1.0635,0.568633738486868,False,111141,88,contextual
foodstamp,Food stamps/SNAP,depression,Depression,-0.0085,0.0204,0.9916,0.9527,1.0321,0.6785489394357087,False,110821,88,contextual
foodstamp,Food stamps/SNAP,casthma,Asthma,0.0743,0.0172,1.0772,1.0414,1.1141,1.5723173082496406e-05,True,110980,88,contextual
foodstamp,Food stamps/SNAP,obesity,Obesity,-0.0471,0.0393,0.954,0.8832,1.0304,0.23079849231463478,False,105729,88,contextual
foodstamp,Food stamps/SNAP,chd,Coronary heart disease,0.0583,0.0295,1.06,1.0005,1.1231,0.048077925146215054,True,110517,88,contextual
foodstamp,Food stamps/SNAP,copd,COPD,0.045,0.0374,1.046,0.9721,1.1254,0.22888829939375366,False,110935,88,contextual
foodstamp,Food stamps/SNAP,stroke,Stroke,0.0107,0.0248,1.0108,0.9629,1.061,0.6645984192104875,False,111050,88,contextual
foodinsecu,Food insecurity,diabetes,Diabetes,0.0382,0.0264,1.0389,0.9865,1.0942,0.14875738806852812,False,111141,88,contextual
foodinsecu,Food insecurity,depression,Depression,-0.0164,0.0178,0.9837,0.95,1.0187,0.3569925380180756,False,110821,88,contextual
foodinsecu,Food insecurity,casthma,Asthma,0.0402,0.0171,1.0411,1.0066,1.0766,0.01897183004813232,True,110980,88,contextual
foodinsecu,Food insecurity,obesity,Obesity,-0.0568,0.0378,0.9448,0.8773,1.0175,0.133391594354063,False,105729,88,contextual
foodinsecu,Food insecurity,chd,Coronary heart disease,0.0475,0.029,1.0486,0.9907,1.1099,0.10156104477182065,False,110517,88,contextual
foodinsecu,Food insecurity,copd,COPD,0.0372,0.0357,1.0379,0.9679,1.1131,0.29635664082480095,False,110935,88,contextual
foodinsecu,Food insecurity,stroke,Stroke,0.0401,0.0268,1.0409,0.9877,1.0969,0.13442963014817466,False,111050,88,contextual
housinsecu,Housing insecurity,diabetes,Diabetes,0.0201,0.0248,1.0203,0.972,1.0711,0.4165970384979937,False,111141,88,contextual
housinsecu,Housing insecurity,depression,Depression,-0.0263,0.0183,0.9741,0.9398,1.0096,0.1507996405146438,False,110821,88,contextual
housinsecu,Housing insecurity,casthma,Asthma,0.0472,0.0152,1.0483,1.0175,1.0799,0.0019005944795686088,True,110980,88,contextual
housinsecu,Housing insecurity,obesity,Obesity,-0.0637,0.0372,0.9383,0.8724,1.0092,0.0864393268760165,False,105729,88,contextual
housinsecu,Housing insecurity,chd,Coronary heart disease,0.0367,0.029,1.0374,0.9801,1.0981,0.20568722538314854,False,110517,88,contextual
housinsecu,Housing insecurity,copd,COPD,0.0314,0.0376,1.0319,0.9585,1.1109,0.4042754169199083,False,110935,88,contextual
housinsecu,Housing insecurity,stroke,Stroke,0.0161,0.024,1.0163,0.9696,1.0652,0.5012515593563006,False,111050,88,contextual
shututility,Utility shutoff threat,diabetes,Diabetes,0.0883,0.0184,1.0923,1.0535,1.1325,1.6816295415497627e-06,True,111141,88,contextual
shututility,Utility shutoff threat,depression,Depression,0.0236,0.0231,1.0238,0.9785,1.0713,0.3080440595037506,False,110821,88,contextual
shututility,Utility shutoff threat,casthma,Asthma,0.0133,0.0202,1.0133,0.9739,1.0544,0.5123879268333026,False,110980,88,contextual
