hrsn_measure,hrsn_label,outcome,outcome_label,beta_std,se_std,ci_lower,ci_upper,pvalue,pvalue_fdr,significant_fdr_05,direction,rr_approx,evalue_point,evalue_ci
loneliness,Loneliness/Social isolation,diabetes,Diabetes,-0.0667,0.027,-0.1196,-0.0138,0.0134931109880095,0.0150264190548288,True,protective,1.0626,1.32,1.13
loneliness,Loneliness/Social isolation,depression,Depression,0.086,0.0675,-0.0463,0.2183,0.2025393147903587,0.2175496342047883,False,harmful,1.0814,1.38,1.0
loneliness,Loneliness/Social isolation,casthma,Asthma,-0.0553,0.0616,-0.1761,0.0655,0.3695209982854353,0.3852452960848155,False,protective,1.0516,1.28,1.0
loneliness,Loneliness/Social isolation,obesity,Obesity,-0.3809,0.0396,-0.4584,-0.3033,6.368249827029981e-22,1.1557194130535892e-21,True,protective,1.4143,2.18,1.97
loneliness,Loneliness/Social isolation,chd,Coronary heart disease,-0.2188,0.0133,-0.2449,-0.1927,1.0970058763493372e-60,2.9862937745065285e-60,True,protective,1.2203,1.74,1.67
loneliness,Loneliness/Social isolation,copd,COPD,-0.136,0.0156,-0.1665,-0.1055,2.4594937136263577e-18,4.017173065589717e-18,True,protective,1.1317,1.52,1.43
loneliness,Loneliness/Social isolation,stroke,Stroke,-0.1328,0.0173,-0.1667,-0.099,1.4099120176025074e-14,2.1589277769538395e-14,True,protective,1.1285,1.51,1.42
foodstamp,Food stamps/SNAP,diabetes,Diabetes,0.5013,0.0219,0.4583,0.5443,9.899217160816015e-116,4.0421803406665394e-115,True,harmful,1.578,2.53,2.4
foodstamp,Food stamps/SNAP,depression,Depression,0.2496,0.0414,0.1684,0.3307,1.673795527146644e-09,2.278221689727376e-09,True,harmful,1.255,1.82,1.6
foodstamp,Food stamps/SNAP,casthma,Asthma,0.6438,0.0475,0.5508,0.7369,6.371916487766494e-42,1.3009329495856594e-41,True,harmful,1.7965,2.99,2.69
foodstamp,Food stamps/SNAP,obesity,Obesity,0.2086,0.0286,0.1526,0.2647,2.89091620028156e-13,4.1663204062881307e-13,True,harmful,1.209,1.71,1.56
foodstamp,Food stamps/SNAP,chd,Coronary heart disease,0.4127,0.0202,0.3731,0.4523,8.578430175163425e-93,2.8022871905533854e-92,True,harmful,1.4558,2.27,2.16
foodstamp,Food stamps/SNAP,copd,COPD,0.5427,0.022,0.4996,0.5858,1.9120569330765884e-134,8.51734452006844e-134,True,harmful,1.6386,2.66,2.53
foodstamp,Food stamps/SNAP,stroke,Stroke,0.5395,0.0167,0.5067,0.5723,9.206592998093536e-228,7.518717615109719e-227,True,harmful,1.6339,2.65,2.55
foodinsecu,Food insecurity,diabetes,Diabetes,0.7325,0.0197,0.6939,0.7711,9.534322913263735e-303,1.5572727424997434e-301,True,harmful,1.9476,3.31,3.17
foodinsecu,Food insecurity,depression,Depression,-0.0516,0.0877,-0.2236,0.1204,0.5565202393000057,0.5681144109520891,False,protective,1.0481,1.27,1.0
foodinsecu,Food insecurity,casthma,Asthma,0.3473,0.0641,0.2218,0.4729,5.900550658344958e-08,7.60860479628692e-08,True,harmful,1.3717,2.09,1.75
foodinsecu,Food insecurity,obesity,Obesity,0.2198,0.0708,0.0811,0.3585,0.0019001917945385,0.0022709609251802,True,harmful,1.2214,1.74,1.36
foodinsecu,Food insecurity,chd,Coronary heart disease,0.4652,0.034,0.3985,0.5319,1.511754283730579e-42,3.3670890864908347e-42,True,harmful,1.527,2.42,2.23
foodinsecu,Food insecurity,copd,COPD,0.6189,0.0455,0.5298,0.708,3.2059514525811674e-42,6.83007048593379e-42,True,harmful,1.7563,2.91,2.62
foodinsecu,Food insecurity,stroke,Stroke,0.6595,0.0296,0.6014,0.7176,1.0884220027058916e-109,4.1025137025068224e-109,True,harmful,1.8224,3.05,2.85
housinsecu,Housing insecurity,diabetes,Diabetes,0.569,0.026,0.518,0.6201,8.460939593268149e-106,2.9613288576438523e-105,True,harmful,1.6783,2.75,2.58
housinsecu,Housing insecurity,depression,Depression,-0.0359,0.0849,-0.2022,0.1304,0.6723480747276727,0.6723480747276727,False,protective,1.0332,1.22,1.0
housinsecu,Housing insecurity,casthma,Asthma,0.5461,0.0663,0.4162,0.676,1.7116673712724732e-16,2.7055387481403607e-16,True,harmful,1.6437,2.67,2.28
housinsecu,Housing insecurity,obesity,Obesity,0.2096,0.0677,0.0768,0.3423,0.0019712484639697,0.0022997898746313,True,harmful,1.2101,1.71,1.35
housinsecu,Housing insecurity,chd,Coronary heart disease,0.3197,0.0312,0.2586,0.3807,1.0933775279182092e-24,2.0605961103073944e-24,True,harmful,1.3377,2.01,1.84
housinsecu,Housing insecurity,copd,COPD,0.5291,0.0377,0.4552,0.6029,9.43499472381804e-45,2.31157370733542e-44,True,harmful,1.6185,2.62,2.39
housinsecu,Housing insecurity,stroke,Stroke,0.5357,0.0305,0.4758,0.5956,7.111201345997931e-69,2.0496992114935214e-68,True,harmful,1.6282,2.64,2.46
shututility,Utility shutoff threat,diabetes,Diabetes,0.611,0.0244,0.5632,0.6588,2.4207487039840806e-138,1.186166864952199e-137,True,harmful,1.7437,2.88,2.73
shututility,Utility shutoff threat,depression,Depression,0.3701,0.0327,0.306,0.4343,1.1507393365448641e-29,2.2554490996279338e-29,True,harmful,1.4004,2.15,1.97
shututility,Utility shutoff threat,casthma,Asthma,0.6944,0.0346,0.6266,0.7623,1.4208337409115921e-89,4.351303331541751e-89,True,harmful,1.8812,3.17,2.93
shututility,Utility shutoff threat,obesity,Obesity,0.5253,0.0384,0.4501,0.6006,1.2496155435604267e-42,2.9157696016409955e-42,True,harmful,1.6129,2.61,2.38
shututility,Utility shutoff threat,chd,Coronary heart disease,0.5116,0.0176,0.4772,0.546,1.1571984726335438e-186,7.087840644880455e-186,True,harmful,1.5929,2.56,2.46
shututility,Utility shutoff threat,copd,COPD,0.7225,0.0144,0.6944,0.7507,0.0,0.0,True,harmful,1.9299,3.27,3.17
shututility,Utility shutoff threat,stroke,Stroke,0.6169,0.0158,0.586,0.6478,0.0,0.0,True,harmful,1.7531,2.9,2.8
lacktrpt,Transportation barriers,diabetes,Diabetes,0.5064,0.0157,0.4757,0.5372,1.0334883327652574e-228,1.0128185661099522e-227,True,harmful,1.5854,2.55,2.46
lacktrpt,Transportation barriers,depression,Depression,0.2377,0.0386,0.1621,0.3133,7.09570050916188e-10,9.93398071282663e-10,True,harmful,1.2415,1.79,1.59
lacktrpt,Transportation barriers,casthma,Asthma,0.5822,0.0379,0.5079,0.6566,3.811189029041051e-53,9.828855917000608e-53,True,harmful,1.6986,2.79,2.55
lacktrpt,Transportation barriers,obesity,Obesity,0.2427,0.027,0.1897,0.2956,2.6751480193340415e-19,4.520077687840277e-19,True,harmful,1.2471,1.8,1.66
lacktrpt,Transportation barriers,chd,Coronary heart disease,0.3635,0.0137,0.3366,0.3903,3.6656221250763636e-155,1.9957276014304647e-154,True,harmful,1.3921,2.13,2.06
lacktrpt,Transportation barriers,copd,COPD,0.5516,0.0185,0.5153,0.5879,8.715895903869317e-195,6.101127132708523e-194,True,harmful,1.6519,2.69,2.58
lacktrpt,Transportation barriers,stroke,Stroke,0.5446,0.0163,0.5126,0.5767,1.2221762715102084e-243,1.497165932600005e-242,True,harmful,1.6415,2.67,2.57
emotionspt,Lack of social support,diabetes,Diabetes,0.0683,0.0256,0.0182,0.1185,0.0075873065548048,0.0086460004926846,True,harmful,1.0641,1.33,1.15
emotionspt,Lack of social support,depression,Depression,-0.443,0.0748,-0.5895,-0.2965,3.0963270699066942e-09,4.100541254741298e-09,True,protective,1.4965,2.36,1.95
emotionspt,Lack of social support,casthma,Asthma,-0.2185,0.0593,-0.3347,-0.1023,0.0002282340796131,0.0002795867475261,True,protective,1.22,1.74,1.42
emotionspt,Lack of social support,obesity,Obesity,-0.4796,0.0522,-0.5818,-0.3773,3.822415645243498e-20,6.689227379176122e-20,True,protective,1.5472,2.47,2.17
emotionspt,Lack of social support,chd,Coronary heart disease,-0.1384,0.018,-0.1737,-0.103,1.625402625822163e-14,2.4134766262207874e-14,True,protective,1.1342,1.52,1.43
emotionspt,Lack of social support,copd,COPD,-0.1113,0.0265,-0.1633,-0.0593,2.7392422113091125e-05,3.4416120090806796e-05,True,protective,1.1066,1.45,1.3
emotionspt,Lack of social support,stroke,Stroke,0.0191,0.0151,-0.0104,0.0486,0.2042302688453114,0.2175496342047883,False,harmful,1.0175,1.15,1.0
