hrsn_measure,hrsn_label,outcome,outcome_label,moderator,moderator_label,main_beta,main_p,interaction_beta,interaction_se,interaction_p,interaction_significant,r_squared,n_obs,interaction_p_fdr
loneliness,Loneliness/Social isolation,diabetes,Diabetes,medicaid_expanded,Medicaid Expansion,-0.0536,0.09674765720901082,-0.0096,0.0286,0.7355476253983502,False,0.7506,60156,0.7668475243514715
loneliness,Loneliness/Social isolation,diabetes,Diabetes,hrsn_waiver,HRSN Waiver,-0.0848,0.0004503859048671338,0.0701,0.0259,0.006735089978635572,True,0.7509,60156,0.013379165227830123
loneliness,Loneliness/Social isolation,diabetes,Diabetes,urban,Urban,-0.001,0.964181926881962,-0.081,0.0174,3.0210622709962826e-06,True,0.751,60156,1.3878004807389174e-05
loneliness,Loneliness/Social isolation,depression,Depression,medicaid_expanded,Medicaid Expansion,-0.1224,0.029478778268915106,0.2505,0.0514,1.116404838837832e-06,True,0.4193,60156,5.65901763135039e-06
loneliness,Loneliness/Social isolation,depression,Depression,hrsn_waiver,HRSN Waiver,0.0709,0.40603509336557064,-0.0624,0.0742,0.39999200885883923,False,0.4244,60156,0.48281254365855947
loneliness,Loneliness/Social isolation,depression,Depression,urban,Urban,0.1153,0.1425730976363048,-0.0362,0.0261,0.16506805283442672,False,0.4099,60156,0.2310952739681974
loneliness,Loneliness/Social isolation,casthma,Asthma,medicaid_expanded,Medicaid Expansion,-0.2006,0.0002503096043875068,0.1396,0.042,0.0008936723057079029,True,0.5859,60156,0.0022266072701535885
loneliness,Loneliness/Social isolation,casthma,Asthma,hrsn_waiver,HRSN Waiver,-0.0077,0.894152447214048,-0.1748,0.0533,0.0010448883622828976,True,0.5555,60156,0.002559976487593099
loneliness,Loneliness/Social isolation,casthma,Asthma,urban,Urban,0.0155,0.8225466941353867,-0.0874,0.0214,4.4349861496975095e-05,True,0.5502,60156,0.0001579706419085125
loneliness,Loneliness/Social isolation,obesity,Obesity,medicaid_expanded,Medicaid Expansion,-0.3378,3.379866375183359e-19,-0.044,0.038,0.24671756293854097,False,0.7266,60156,0.32095116594659756
loneliness,Loneliness/Social isolation,obesity,Obesity,hrsn_waiver,HRSN Waiver,-0.3622,3.0966905900860466e-12,0.0288,0.0442,0.5148879142293238,False,0.7334,60156,0.5959726251315796
loneliness,Loneliness/Social isolation,obesity,Obesity,urban,Urban,-0.3447,8.988479624657774e-14,-0.0447,0.0158,0.004576755387364692,True,0.7254,60156,0.00934420891586958
loneliness,Loneliness/Social isolation,chd,Coronary heart disease,medicaid_expanded,Medicaid Expansion,-0.1978,7.071064011942254e-22,-0.0245,0.0206,0.2346739384449501,False,0.7654,60156,0.3136097177400697
loneliness,Loneliness/Social isolation,chd,Coronary heart disease,hrsn_waiver,HRSN Waiver,-0.2226,1.6276827295767488e-47,-0.0088,0.0189,0.6426629427707763,False,0.7658,60156,0.6997885376837342
loneliness,Loneliness/Social isolation,chd,Coronary heart disease,urban,Urban,-0.1897,2.6791335032943057e-27,-0.036,0.0143,0.01205215593918588,True,0.766,60156,0.021019420214860397
loneliness,Loneliness/Social isolation,copd,COPD,medicaid_expanded,Medicaid Expansion,-0.1241,4.111295060310626e-10,-0.018,0.0214,0.4007015668458793,False,0.7751,60156,0.48281254365855947
loneliness,Loneliness/Social isolation,copd,COPD,hrsn_waiver,HRSN Waiver,-0.1082,4.914592152752231e-09,-0.0781,0.018,1.4783162647835246e-05,True,0.7759,60156,5.8733105654913e-05
loneliness,Loneliness/Social isolation,copd,COPD,urban,Urban,-0.0785,0.0006511879583161392,-0.071,0.0144,8.731986055399512e-07,True,0.7764,60156,4.584292679084744e-06
loneliness,Loneliness/Social isolation,stroke,Stroke,medicaid_expanded,Medicaid Expansion,-0.1215,3.7826347189949334e-07,-0.0144,0.023,0.5318938233242118,False,0.7879,60156,0.6061115661136367
loneliness,Loneliness/Social isolation,stroke,Stroke,hrsn_waiver,HRSN Waiver,-0.1517,1.5452713197051307e-32,0.0243,0.017,0.15127661352926802,False,0.7892,60156,0.2201748731564594
loneliness,Loneliness/Social isolation,stroke,Stroke,urban,Urban,-0.0598,0.0003220287069559098,-0.0902,0.0177,3.3527376436210167e-07,True,0.7899,60156,2.1428366678795194e-06
foodstamp,Food stamps/SNAP,diabetes,Diabetes,medicaid_expanded,Medicaid Expansion,0.6382,2.479663113648448e-61,-0.1186,0.034,0.0004804938148888733,True,0.8026,60156,0.0014126518157732875
foodstamp,Food stamps/SNAP,diabetes,Diabetes,hrsn_waiver,HRSN Waiver,0.5175,1.0688474044349906e-102,-0.0271,0.0239,0.256141792543639,False,0.7968,60156,0.3302881009115345
foodstamp,Food stamps/SNAP,diabetes,Diabetes,urban,Urban,0.5531,7.416079186339519e-91,-0.0889,0.017,1.7038586454505137e-07,True,0.7963,60156,1.2523361044061275e-06
foodstamp,Food stamps/SNAP,depression,Depression,medicaid_expanded,Medicaid Expansion,0.1486,0.0002646106208998185,0.109,0.0345,0.0015650051628802169,True,0.4201,60156,0.0035446984259352747
foodstamp,Food stamps/SNAP,depression,Depression,hrsn_waiver,HRSN Waiver,0.2116,1.485545344656464e-06,0.0536,0.039,0.16870140600605177,False,0.4327,60156,0.23395383663103406
foodstamp,Food stamps/SNAP,depression,Depression,urban,Urban,0.2255,4.72290802545233e-10,0.0379,0.0232,0.10184011665168329,False,0.4186,60156,0.15594267862289005
foodstamp,Food stamps/SNAP,casthma,Asthma,medicaid_expanded,Medicaid Expansion,0.5382,8.748408244893526e-20,0.0546,0.0353,0.12181560405504446,False,0.6421,60156,0.18087771511203574
foodstamp,Food stamps/SNAP,casthma,Asthma,hrsn_waiver,HRSN Waiver,0.6527,1.4955034874803448e-48,-0.0398,0.0434,0.3589004245509083,False,0.6249,60156,0.4433475832687691
foodstamp,Food stamps/SNAP,casthma,Asthma,urban,Urban,0.6378,1.1368887617479601e-46,0.01,0.0165,0.5448436064155489,False,0.6246,60156,0.6152515752206189
foodstamp,Food stamps/SNAP,obesity,Obesity,medicaid_expanded,Medicaid Expansion,0.2756,1.358336373577869e-18,-0.0331,0.0252,0.18829897335868395,False,0.6855,60156,0.2562958248493198
foodstamp,Food stamps/SNAP,obesity,Obesity,hrsn_waiver,HRSN Waiver,0.2147,5.55618966897683e-13,0.084,0.0361,0.020002565781111446,True,0.6996,60156,0.034190432207248635
foodstamp,Food stamps/SNAP,obesity,Obesity,urban,Urban,0.2376,1.8272837424698152e-20,-0.0539,0.0215,0.01200120788097405,True,0.6789,60156,0.021019420214860397
foodstamp,Food stamps/SNAP,chd,Coronary heart disease,medicaid_expanded,Medicaid Expansion,0.4992,3.9524307242936244e-41,-0.0716,0.0334,0.03204616230940504,False,0.7827,60156,0.05353165749411978
foodstamp,Food stamps/SNAP,chd,Coronary heart disease,hrsn_waiver,HRSN Waiver,0.419,1.3547745806203009e-75,-0.01,0.0261,0.7009117469678829,False,0.7793,60156,0.7359573343162771
foodstamp,Food stamps/SNAP,chd,Coronary heart disease,urban,Urban,0.4435,1.482178728571464e-72,-0.0548,0.0162,0.0007131161350497612,True,0.7797,60156,0.001936593890256445
foodstamp,Food stamps/SNAP,copd,COPD,medicaid_expanded,Medicaid Expansion,0.6081,4.2252280233716845e-42,-0.056,0.0388,0.14881873776955368,False,0.8245,60156,0.2187635445212439
foodstamp,Food stamps/SNAP,copd,COPD,hrsn_waiver,HRSN Waiver,0.5733,3.105548084453473e-147,-0.0855,0.0289,0.0031299798343743853,True,0.8253,60156,0.0066682179080149945
foodstamp,Food stamps/SNAP,copd,COPD,urban,Urban,0.5801,3.053266924659208e-139,-0.0668,0.0157,2.1946123830148514e-05,True,0.8236,60156,8.489684744820609e-05
foodstamp,Food stamps/SNAP,stroke,Stroke,medicaid_expanded,Medicaid Expansion,0.6731,5.246715297385843e-58,-0.1276,0.0363,0.00044014619070528163,True,0.8404,60156,0.0013204385721158449
foodstamp,Food stamps/SNAP,stroke,Stroke,hrsn_waiver,HRSN Waiver,0.5504,4.558682039390072e-211,-0.0404,0.0232,0.08185596276235971,False,0.8357,60156,0.12666133185333553
foodstamp,Food stamps/SNAP,stroke,Stroke,urban,Urban,0.5968,4.713980601540004e-182,-0.0996,0.0143,3.325676387719303e-12,True,0.8375,60156,6.983920414210537e-11
foodinsecu,Food insecurity,diabetes,Diabetes,medicaid_expanded,Medicaid Expansion,0.8369,0.0,-0.1071,0.024,7.869170841411087e-06,True,0.818,60156,3.3050517533926566e-05
foodinsecu,Food insecurity,diabetes,Diabetes,hrsn_waiver,HRSN Waiver,0.7277,8.690289656876297e-248,0.0122,0.0207,0.5545432032860245,False,0.8132,60156,0.617559476386709
foodinsecu,Food insecurity,diabetes,Diabetes,urban,Urban,0.7932,4.009560395883654e-279,-0.0988,0.0155,2.047892197333282e-10,True,0.8149,60156,2.3156934846768652e-09
foodinsecu,Food insecurity,depression,Depression,medicaid_expanded,Medicaid Expansion,-0.1559,0.04614357206365924,0.1136,0.0374,0.0023701379977356003,True,0.4101,60156,0.005200153517419899
foodinsecu,Food insecurity,depression,Depression,hrsn_waiver,HRSN Waiver,-0.0463,0.5947353274805559,0.0638,0.0396,0.10785172516041674,False,0.4236,60156,0.16344539792351817
foodinsecu,Food insecurity,depression,Depression,urban,Urban,-0.0541,0.4964644691061256,-0.0022,0.0211,0.9162126796076249,False,0.4073,60156,0.9224881089200059
foodinsecu,Food insecurity,casthma,Asthma,medicaid_expanded,Medicaid Expansion,0.1854,0.008148961031478021,0.1408,0.0413,0.0006457494341214145,True,0.5941,60156,0.0018254839772278448
foodinsecu,Food insecurity,casthma,Asthma,hrsn_waiver,HRSN Waiver,0.3594,1.6159522693311514e-07,-0.025,0.0417,0.5482854173734767,False,0.5638,60156,0.6152515752206189
foodinsecu,Food insecurity,casthma,Asthma,urban,Urban,0.3771,2.8898278596436515e-09,-0.0517,0.016,0.001256134293816627,True,0.5627,60156,0.0030113067095202213
foodinsecu,Food insecurity,obesity,Obesity,medicaid_expanded,Medicaid Expansion,0.2456,1.767340323117623e-05,-0.0077,0.0309,0.8041589267930298,False,0.6813,60156,0.8266528827872405
foodinsecu,Food insecurity,obesity,Obesity,hrsn_waiver,HRSN Waiver,0.1664,0.027042015049030216,0.1408,0.0419,0.0007826282711280868,True,0.6961,60156,0.002054399211711228
foodinsecu,Food insecurity,obesity,Obesity,urban,Urban,0.2505,4.956948175695104e-05,-0.0561,0.0208,0.006905200420156277,True,0.6767,60156,0.013534192823506304
foodinsecu,Food insecurity,chd,Coronary heart disease,medicaid_expanded,Medicaid Expansion,0.5307,1.97952800148634e-74,-0.0675,0.0213,0.0015673836577264819,True,0.7754,60156,0.0035446984259352747
foodinsecu,Food insecurity,chd,Coronary heart disease,hrsn_waiver,HRSN Waiver,0.4619,1.668669849016745e-40,0.0183,0.0266,0.4923003233126527,False,0.7736,60156,0.5789451802156796
foodinsecu,Food insecurity,chd,Coronary heart disease,urban,Urban,0.5083,1.613420466332403e-52,-0.0733,0.0143,3.1520798674707954e-07,True,0.7747,60156,2.1061624569009407e-06
foodinsecu,Food insecurity,copd,COPD,medicaid_expanded,Medicaid Expansion,0.6745,3.227301094942089e-67,-0.0627,0.025,0.012154086518796828,True,0.815,60156,0.021019420214860397
foodinsecu,Food insecurity,copd,COPD,hrsn_waiver,HRSN Waiver,0.628,1.1545476120660293e-41,-0.0441,0.0314,0.16032703489573963,False,0.8146,60156,0.2266160974007089
