hrsn_measure,hrsn_label,outcome,outcome_label,beta_std,se,pvalue,ci_lower,ci_upper,r_squared,adj_r_squared,n_obs,significant_05,model_type,pvalue_fdr,significant_fdr_05
loneliness,Loneliness/Social isolation,diabetes,Diabetes,0.0158,0.0354,0.654740215247464,-0.0536,0.0853,0.8754,0.8753,60156,False,mutually_adjusted,0.6826015010026752,False
foodstamp,Food stamps/SNAP,diabetes,Diabetes,0.3087,0.0644,1.6104586740688882e-06,0.1826,0.4348,0.8754,0.8753,60156,True,mutually_adjusted,2.6304158343125174e-06,True
foodinsecu,Food insecurity,diabetes,Diabetes,2.3405,0.1075,4.335233246026265e-105,2.1298,2.5512,0.8754,0.8753,60156,True,mutually_adjusted,2.12426429055287e-103,True
housinsecu,Housing insecurity,diabetes,Diabetes,-1.4262,0.1244,1.9702900945990514e-30,-1.67,-1.1824,0.8754,0.8753,60156,True,mutually_adjusted,1.206802682941919e-29,True
shututility,Utility shutoff threat,diabetes,Diabetes,0.7612,0.08,1.8027001451285417e-21,0.6044,0.9179,0.8754,0.8753,60156,True,mutually_adjusted,5.8888204740865696e-21,True
lacktrpt,Transportation barriers,diabetes,Diabetes,-1.416,0.1244,5.200544859193437e-30,-1.6598,-1.1721,0.8754,0.8753,60156,True,mutually_adjusted,2.8314077566719824e-29,True
emotionspt,Lack of social support,diabetes,Diabetes,-0.0773,0.0372,0.03759118129246819,-0.1501,-0.0044,0.8754,0.8753,60156,True,mutually_adjusted,0.042836462403045145,True
loneliness,Loneliness/Social isolation,depression,Depression,0.5386,0.0546,5.475409631505454e-23,0.4317,0.6455,0.6203,0.6202,60156,True,mutually_adjusted,2.0791682386228606e-22,True
foodstamp,Food stamps/SNAP,depression,Depression,0.5591,0.0884,2.570538396359215e-10,0.3858,0.7325,0.6203,0.6202,60156,True,mutually_adjusted,4.665051163763021e-10,True
foodinsecu,Food insecurity,depression,Depression,-0.7114,0.2106,0.0007280402988734684,-1.1241,-0.2987,0.6203,0.6202,60156,True,mutually_adjusted,0.000990943740133332,True
