comparison,outcome,outcome_label,variable,variable_label,variable_type,raw_gap,endowment_contribution,endowment_ci_lower,endowment_ci_upper,pct_of_gap,mean_white,mean_minority,n_white,n_minority,total_pct_explained,level
Black_vs_White,diabetes,Diabetes,loneliness,Loneliness/Social isolation,hrsn,7.0955,0.1394,0.0894,0.1917,1.96,32.3089,39.5464,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,foodstamp,Food stamps/SNAP,hrsn,7.0955,1.2836,1.123,1.4412,18.09,10.5907,32.6523,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,foodinsecu,Food insecurity,hrsn,7.0955,20.0699,19.5604,20.5389,282.86,12.9185,34.3278,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,housinsecu,Housing insecurity,hrsn,7.0955,-10.6719,-11.0413,-10.2688,-150.4,10.4715,26.6811,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,shututility,Utility shutoff threat,hrsn,7.0955,8.2976,8.04,8.5464,116.94,6.995,19.7644,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,lacktrpt,Transportation barriers,hrsn,7.0955,-13.376,-13.847,-12.9221,-188.52,7.3207,17.3111,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,emotionspt,Lack of social support,hrsn,7.0955,-1.0685,-1.1527,-0.9866,-15.06,22.1557,31.8644,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,pct_poverty,pct_poverty,demographic,7.0955,0.0073,-0.0496,0.0626,0.1,10.689,25.4076,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,pct_college,pct_college,demographic,7.0955,0.8029,0.7791,0.8275,11.32,36.3351,20.7713,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,pct_65plus,pct_65plus,demographic,7.0955,-0.2917,-0.3121,-0.2746,-4.11,19.0889,15.0582,38240,5436,68.57,ecological
Black_vs_White,diabetes,Diabetes,median_age,median_age,demographic,7.0955,-0.3275,-0.3506,-0.3045,-4.61,41.9359,37.1617,38240,5436,68.57,ecological
Black_vs_White,depression,Depression,loneliness,Loneliness/Social isolation,hrsn,-2.6399,3.4821,3.3884,3.5857,-131.9,32.3089,39.5464,38240,5436,-31.78,ecological
Black_vs_White,depression,Depression,foodstamp,Food stamps/SNAP,hrsn,-2.6399,4.0548,3.8579,4.2721,-153.59,10.5907,32.6523,38240,5436,-31.78,ecological
