comparison,outcome,outcome_label,variable,variable_label,variable_type,raw_gap,endowment_contribution,endowment_ci_lower,endowment_ci_upper,pct_of_gap,mean_white,mean_minority,n_white,n_minority,total_pct_explained,level
Black_vs_White,diabetes,Diabetes,material_hardship,Material Hardship (Factor 1),factor,7.0955,6.7044,6.5303,6.9058,94.49,-0.4259,1.5963,38240,5436,67.53,ecological
Black_vs_White,diabetes,Diabetes,social_isolation,Social Isolation (Factor 2),factor,7.0955,-2.1832,-2.2606,-2.1017,-30.77,-0.5043,1.2598,38240,5436,67.53,ecological
Black_vs_White,diabetes,Diabetes,pct_poverty,pct_poverty,demographic,7.0955,0.064,-0.0106,0.1436,0.9,10.689,25.4076,38240,5436,67.53,ecological
Black_vs_White,diabetes,Diabetes,pct_college,pct_college,demographic,7.0955,1.0097,0.9786,1.0403,14.23,36.3351,20.7713,38240,5436,67.53,ecological
Black_vs_White,diabetes,Diabetes,pct_65plus,pct_65plus,demographic,7.0955,-0.3457,-0.3675,-0.3248,-4.87,19.0889,15.0582,38240,5436,67.53,ecological
Black_vs_White,diabetes,Diabetes,median_age,median_age,demographic,7.0955,-0.4576,-0.4842,-0.4309,-6.45,41.9359,37.1617,38240,5436,67.53,ecological
Black_vs_White,depression,Depression,material_hardship,Material Hardship (Factor 1),factor,-2.6399,0.8749,0.6718,1.0806,-33.14,-0.4259,1.5963,38240,5436,-110.57,ecological
Black_vs_White,depression,Depression,social_isolation,Social Isolation (Factor 2),factor,-2.6399,-0.8485,-0.9781,-0.7131,32.14,-0.5043,1.2598,38240,5436,-110.57,ecological
Black_vs_White,depression,Depression,pct_poverty,pct_poverty,demographic,-2.6399,1.5204,1.4374,1.6111,-57.59,10.689,25.4076,38240,5436,-110.57,ecological
Black_vs_White,depression,Depression,pct_college,pct_college,demographic,-2.6399,0.8228,0.7862,0.8549,-31.17,36.3351,20.7713,38240,5436,-110.57,ecological
Black_vs_White,depression,Depression,pct_65plus,pct_65plus,demographic,-2.6399,0.1796,0.151,0.2065,-6.8,19.0889,15.0582,38240,5436,-110.57,ecological
Black_vs_White,depression,Depression,median_age,median_age,demographic,-2.6399,0.3699,0.331,0.4122,-14.01,41.9359,37.1617,38240,5436,-110.57,ecological
Black_vs_White,casthma,Asthma,material_hardship,Material Hardship (Factor 1),factor,1.9543,1.712,1.6235,1.7871,87.6,-0.4259,1.5963,38240,5436,88.3,ecological
Black_vs_White,casthma,Asthma,social_isolation,Social Isolation (Factor 2),factor,1.9543,-0.3659,-0.4035,-0.3204,-18.72,-0.5043,1.2598,38240,5436,88.3,ecological
Black_vs_White,casthma,Asthma,pct_poverty,pct_poverty,demographic,1.9543,0.1002,0.0757,0.1285,5.13,10.689,25.4076,38240,5436,88.3,ecological
Black_vs_White,casthma,Asthma,pct_college,pct_college,demographic,1.9543,0.2513,0.24,0.2612,12.86,36.3351,20.7713,38240,5436,88.3,ecological
Black_vs_White,casthma,Asthma,pct_65plus,pct_65plus,demographic,1.9543,0.0084,0.0005,0.0162,0.43,19.0889,15.0582,38240,5436,88.3,ecological
Black_vs_White,casthma,Asthma,median_age,median_age,demographic,1.9543,0.0196,0.0099,0.0303,1.0,41.9359,37.1617,38240,5436,88.3,ecological
Black_vs_White,obesity,Obesity,material_hardship,Material Hardship (Factor 1),factor,9.8702,9.0416,8.7805,9.3394,91.61,-0.4259,1.5963,38240,5436,61.26,ecological
Black_vs_White,obesity,Obesity,social_isolation,Social Isolation (Factor 2),factor,9.8702,-7.3294,-7.5065,-7.1642,-74.26,-0.5043,1.2598,38240,5436,61.26,ecological
Black_vs_White,obesity,Obesity,pct_poverty,pct_poverty,demographic,9.8702,0.5077,0.4005,0.6208,5.14,10.689,25.4076,38240,5436,61.26,ecological
Black_vs_White,obesity,Obesity,pct_college,pct_college,demographic,9.8702,3.4181,3.3256,3.5094,34.63,36.3351,20.7713,38240,5436,61.26,ecological
Black_vs_White,obesity,Obesity,pct_65plus,pct_65plus,demographic,9.8702,0.2989,0.2654,0.3328,3.03,19.0889,15.0582,38240,5436,61.26,ecological
Black_vs_White,obesity,Obesity,median_age,median_age,demographic,9.8702,0.1099,0.0665,0.1564,1.11,41.9359,37.1617,38240,5436,61.26,ecological
Black_vs_White,chd,Coronary heart disease,material_hardship,Material Hardship (Factor 1),factor,0.8446,2.484,2.3992,2.5835,294.1,-0.4259,1.5963,38240,5436,166.44,ecological
Black_vs_White,chd,Coronary heart disease,social_isolation,Social Isolation (Factor 2),factor,0.8446,-1.591,-1.6343,-1.5486,-188.37,-0.5043,1.2598,38240,5436,166.44,ecological
Black_vs_White,chd,Coronary heart disease,pct_poverty,pct_poverty,demographic,0.8446,0.3915,0.3498,0.4326,46.36,10.689,25.4076,38240,5436,166.44,ecological
Black_vs_White,chd,Coronary heart disease,pct_college,pct_college,demographic,0.8446,0.7207,0.7024,0.7384,85.34,36.3351,20.7713,38240,5436,166.44,ecological
Black_vs_White,chd,Coronary heart disease,pct_65plus,pct_65plus,demographic,0.8446,-0.3917,-0.4132,-0.3721,-46.38,19.0889,15.0582,38240,5436,166.44,ecological
Black_vs_White,chd,Coronary heart disease,median_age,median_age,demographic,0.8446,-0.2078,-0.222,-0.1933,-24.6,41.9359,37.1617,38240,5436,166.44,ecological
Black_vs_White,copd,COPD,material_hardship,Material Hardship (Factor 1),factor,2.1606,4.5968,4.463,4.7411,212.76,-0.4259,1.5963,38240,5436,176.83,ecological
Black_vs_White,copd,COPD,social_isolation,Social Isolation (Factor 2),factor,2.1606,-2.0323,-2.0895,-1.9712,-94.06,-0.5043,1.2598,38240,5436,176.83,ecological
Black_vs_White,copd,COPD,pct_poverty,pct_poverty,demographic,2.1606,0.664,0.6113,0.719,30.73,10.689,25.4076,38240,5436,176.83,ecological
Black_vs_White,copd,COPD,pct_college,pct_college,demographic,2.1606,1.0644,1.0385,1.0896,49.27,36.3351,20.7713,38240,5436,176.83,ecological
Black_vs_White,copd,COPD,pct_65plus,pct_65plus,demographic,2.1606,-0.2377,-0.2545,-0.2219,-11.0,19.0889,15.0582,38240,5436,176.83,ecological
Black_vs_White,copd,COPD,median_age,median_age,demographic,2.1606,-0.2348,-0.2524,-0.2176,-10.87,41.9359,37.1617,38240,5436,176.83,ecological
Black_vs_White,stroke,Stroke,material_hardship,Material Hardship (Factor 1),factor,2.067,2.2,2.1398,2.2659,106.44,-0.4259,1.5963,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,social_isolation,Social Isolation (Factor 2),factor,2.067,-0.7308,-0.7545,-0.7062,-35.35,-0.5043,1.2598,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,pct_poverty,pct_poverty,demographic,2.067,0.0861,0.0629,0.1112,4.17,10.689,25.4076,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,pct_college,pct_college,demographic,2.067,0.3099,0.3012,0.3186,14.99,36.3351,20.7713,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,pct_65plus,pct_65plus,demographic,2.067,-0.1905,-0.2008,-0.1809,-9.22,19.0889,15.0582,38240,5436,75.32,ecological
Black_vs_White,stroke,Stroke,median_age,median_age,demographic,2.067,-0.1178,-0.1262,-0.1099,-5.7,41.9359,37.1617,38240,5436,75.32,ecological
Hispanic_vs_White,diabetes,Diabetes,material_hardship,Material Hardship (Factor 1),factor,2.6208,4.6313,4.4935,4.7588,176.71,-0.4259,1.1246,38240,5201,108.37,ecological
Hispanic_vs_White,diabetes,Diabetes,social_isolation,Social Isolation (Factor 2),factor,2.6208,-1.6996,-1.7603,-1.6352,-64.85,-0.5043,1.2502,38240,5201,108.37,ecological
Hispanic_vs_White,diabetes,Diabetes,pct_poverty,pct_poverty,demographic,2.6208,0.0318,-0.0093,0.0758,1.21,10.689,19.1501,38240,5201,108.37,ecological
Hispanic_vs_White,diabetes,Diabetes,pct_college,pct_college,demographic,2.6208,1.2991,1.2683,1.327,49.57,36.3351,16.2687,38240,5201,108.37,ecological
