comparison,outcome,outcome_label,variable,variable_label,variable_type,raw_gap,endowment_contribution,pct_of_gap,mean_white,mean_minority,n_white,n_minority,total_pct_explained,level
Black_vs_White,diabetes,Diabetes,loneliness,Loneliness/Social isolation,hrsn,0.082,0.0005,0.62,0.0523,0.0736,132238,13010,8.81,individual
Black_vs_White,diabetes,Diabetes,foodstamp,Food stamps/SNAP,hrsn,0.082,0.0047,5.78,0.0641,0.2125,132238,13010,8.81,individual
Black_vs_White,diabetes,Diabetes,foodinsecu,Food insecurity,hrsn,0.082,0.001,1.2,0.0319,0.0813,132238,13010,8.81,individual
Black_vs_White,diabetes,Diabetes,housinsecu,Housing insecurity,hrsn,0.082,0.0011,1.31,0.0617,0.1988,132238,13010,8.81,individual
Black_vs_White,diabetes,Diabetes,shututility,Utility shutoff threat,hrsn,0.082,0.0016,1.93,0.0458,0.1486,132238,13010,8.81,individual
Black_vs_White,diabetes,Diabetes,lacktrpt,Transportation barriers,hrsn,0.082,0.002,2.44,0.0475,0.1178,132238,13010,8.81,individual
Black_vs_White,diabetes,Diabetes,emotionspt,Lack of social support,hrsn,0.082,0.0002,0.19,0.06,0.0978,132238,13010,8.81,individual
Black_vs_White,depression,Depression,loneliness,Loneliness/Social isolation,hrsn,-0.0512,0.0058,-11.38,0.0521,0.0733,131887,12990,-164.3,individual
Black_vs_White,depression,Depression,foodstamp,Food stamps/SNAP,hrsn,-0.0512,0.0124,-24.26,0.0641,0.2121,131887,12990,-164.3,individual
Black_vs_White,depression,Depression,foodinsecu,Food insecurity,hrsn,-0.0512,0.0017,-3.31,0.0319,0.0814,131887,12990,-164.3,individual
Black_vs_White,depression,Depression,housinsecu,Housing insecurity,hrsn,-0.0512,0.0127,-24.75,0.0617,0.1992,131887,12990,-164.3,individual
Black_vs_White,depression,Depression,shututility,Utility shutoff threat,hrsn,-0.0512,0.0045,-8.87,0.0458,0.1487,131887,12990,-164.3,individual
Black_vs_White,depression,Depression,lacktrpt,Transportation barriers,hrsn,-0.0512,0.0084,-16.48,0.0474,0.1172,131887,12990,-164.3,individual
Black_vs_White,depression,Depression,emotionspt,Lack of social support,hrsn,-0.0512,0.0021,-4.19,0.0598,0.0976,131887,12990,-164.3,individual
Black_vs_White,casthma,Asthma,loneliness,Loneliness/Social isolation,hrsn,0.0248,0.0009,3.59,0.0522,0.0736,131984,13008,150.25,individual
Black_vs_White,casthma,Asthma,foodstamp,Food stamps/SNAP,hrsn,0.0248,0.0078,31.56,0.0641,0.2123,131984,13008,150.25,individual
Black_vs_White,casthma,Asthma,foodinsecu,Food insecurity,hrsn,0.0248,0.0017,6.84,0.0319,0.0814,131984,13008,150.25,individual
Black_vs_White,casthma,Asthma,housinsecu,Housing insecurity,hrsn,0.0248,0.0054,21.78,0.0616,0.1991,131984,13008,150.25,individual
Black_vs_White,casthma,Asthma,shututility,Utility shutoff threat,hrsn,0.0248,0.0031,12.37,0.0458,0.1486,131984,13008,150.25,individual
Black_vs_White,casthma,Asthma,lacktrpt,Transportation barriers,hrsn,0.0248,0.0046,18.56,0.0474,0.1175,131984,13008,150.25,individual
Black_vs_White,casthma,Asthma,emotionspt,Lack of social support,hrsn,0.0248,-0.0001,-0.22,0.0599,0.0978,131984,13008,150.25,individual
Black_vs_White,obesity,Obesity,loneliness,Loneliness/Social isolation,hrsn,0.1269,0.0003,0.27,0.0523,0.0739,127836,12495,27.06,individual
Black_vs_White,obesity,Obesity,foodstamp,Food stamps/SNAP,hrsn,0.1269,0.0083,6.58,0.064,0.2126,127836,12495,27.06,individual
Black_vs_White,obesity,Obesity,foodinsecu,Food insecurity,hrsn,0.1269,-0.0001,-0.1,0.0319,0.082,127836,12495,27.06,individual
Black_vs_White,obesity,Obesity,housinsecu,Housing insecurity,hrsn,0.1269,0.0066,5.17,0.0617,0.199,127836,12495,27.06,individual
Black_vs_White,obesity,Obesity,shututility,Utility shutoff threat,hrsn,0.1269,0.0047,3.68,0.0459,0.1493,127836,12495,27.06,individual
