threshold_pct_black,outcome,outcome_label,n_white,n_black,raw_gap,pct_explained_total,pct_explained_hrsn
40,diabetes,Diabetes,38240,7066,6.3369,69.73,68.48
40,depression,Depression,38240,7066,-2.374,-14.52,67.83
40,casthma,Asthma,38240,7066,1.6996,74.26,48.3
40,obesity,Obesity,38240,7066,8.924,64.24,23.51
40,chd,Coronary heart disease,38240,7066,0.6867,106.01,58.52
40,copd,COPD,38240,7066,1.8878,139.74,88.4
40,stroke,Stroke,38240,7066,1.8036,70.27,69.67
50,diabetes,Diabetes,38240,5436,7.0955,68.57,65.87
50,depression,Depression,38240,5436,-2.6399,-31.78,42.02
50,casthma,Asthma,38240,5436,1.9543,69.35,43.76
50,obesity,Obesity,38240,5436,9.8702,63.04,23.19
50,chd,Coronary heart disease,38240,5436,0.8446,112.06,64.77
50,copd,COPD,38240,5436,2.1606,147.85,99.14
50,stroke,Stroke,38240,5436,2.067,67.93,65.26
60,diabetes,Diabetes,38240,4106,7.7623,68.62,64.78
60,depression,Depression,38240,4106,-2.9061,-47.98,17.39
60,casthma,Asthma,38240,4106,2.1902,66.79,42.32
60,obesity,Obesity,38240,4106,10.6391,62.92,23.59
60,chd,Coronary heart disease,38240,4106,0.9679,121.76,73.98
60,copd,COPD,38240,4106,2.3824,157.6,110.64
60,stroke,Stroke,38240,4106,2.3052,66.64,62.4
