hrsn_measure,disease,treatment_threshold_pct,hrsn_threshold_value,hrsn_target_value,n_tracts_treated,pop_treated,beta,mean_hrsn_reduction_pp,mean_disease_reduction_pp,est_associated_case_reduction,est_case_reduction_adjusted
loneliness,diabetes,90,40.6,33.9,5844,22164566,-0.0593,9.1,-0.54,-119424,-59712
loneliness,depression,90,40.6,33.9,5844,22164566,0.077,9.1,0.7,155219,77609
loneliness,casthma,90,40.6,33.9,5844,22164566,-0.0173,9.1,-0.16,-34953,-17476
loneliness,obesity,90,40.6,33.9,5844,22164566,-0.6475,9.1,-5.87,-1304726,-652363
loneliness,chd,90,40.6,33.9,5844,22164566,-0.0991,9.1,-0.9,-199627,-99813
loneliness,copd,90,40.6,33.9,5844,22164566,-0.0865,9.1,-0.78,-174343,-87171
loneliness,stroke,90,40.6,33.9,5844,22164566,-0.0378,9.1,-0.34,-76256,-38128
loneliness,diabetes,75,37.3,33.9,14918,57339220,-0.0593,6.6,-0.39,-222518,-111259
loneliness,depression,75,37.3,33.9,14918,57339220,0.077,6.6,0.51,289212,144606
loneliness,casthma,75,37.3,33.9,14918,57339220,-0.0173,6.6,-0.11,-65127,-32563
loneliness,obesity,75,37.3,33.9,14918,57339220,-0.6475,6.6,-4.25,-2431027,-1215513
loneliness,chd,75,37.3,33.9,14918,57339220,-0.0991,6.6,-0.65,-371956,-185978
loneliness,copd,75,37.3,33.9,14918,57339220,-0.0865,6.6,-0.57,-324844,-162422
loneliness,stroke,75,37.3,33.9,14918,57339220,-0.0378,6.6,-0.25,-142084,-71042
foodstamp,diabetes,90,30.9,11.4,5962,19652068,0.1733,30.8,5.34,1015607,507803
foodstamp,depression,90,30.9,11.4,5962,19652068,0.0869,30.8,2.68,509431,254715
foodstamp,casthma,90,30.9,11.4,5962,19652068,0.0785,30.8,2.42,460202,230101
foodstamp,obesity,90,30.9,11.4,5962,19652068,0.1379,30.8,4.25,808430,404215
foodstamp,chd,90,30.9,11.4,5962,19652068,0.0726,30.8,2.24,425766,212883
foodstamp,copd,90,30.9,11.4,5962,19652068,0.1343,30.8,4.14,786928,393464
foodstamp,stroke,90,30.9,11.4,5962,19652068,0.0598,30.8,1.84,350353,175176
foodstamp,diabetes,75,19.2,11.4,14950,53731586,0.1733,20.0,3.46,1768563,884281
foodstamp,depression,75,19.2,11.4,14950,53731586,0.0869,20.0,1.74,887116,443558
foodstamp,casthma,75,19.2,11.4,14950,53731586,0.0785,20.0,1.57,801389,400694
foodstamp,obesity,75,19.2,11.4,14950,53731586,0.1379,20.0,2.75,1407788,703894
foodstamp,chd,75,19.2,11.4,14950,53731586,0.0726,20.0,1.45,741423,370711
foodstamp,copd,75,19.2,11.4,14950,53731586,0.1343,20.0,2.68,1370345,685172
foodstamp,stroke,75,19.2,11.4,14950,53731586,0.0598,20.0,1.19,610100,305050
foodinsecu,diabetes,90,33.9,14.4,5970,20162185,0.2646,28.4,7.52,1481611,740805
foodinsecu,depression,90,33.9,14.4,5970,20162185,-0.0188,28.4,-0.53,-105159,-52579
foodinsecu,casthma,90,33.9,14.4,5970,20162185,0.0443,28.4,1.26,247883,123941
foodinsecu,obesity,90,33.9,14.4,5970,20162185,0.1518,28.4,4.31,850265,425132
foodinsecu,chd,90,33.9,14.4,5970,20162185,0.0856,28.4,2.43,479208,239604
foodinsecu,copd,90,33.9,14.4,5970,20162185,0.16,28.4,4.55,896125,448062
foodinsecu,stroke,90,33.9,14.4,5970,20162185,0.0764,28.4,2.17,427619,213809
foodinsecu,diabetes,75,22.7,14.4,14965,54348959,0.2646,19.3,5.09,2670353,1335176
foodinsecu,depression,75,22.7,14.4,14965,54348959,-0.0188,19.3,-0.36,-189532,-94766
foodinsecu,casthma,75,22.7,14.4,14965,54348959,0.0443,19.3,0.85,446767,223383
foodinsecu,obesity,75,22.7,14.4,14965,54348959,0.1518,19.3,2.92,1532460,766230
foodinsecu,chd,75,22.7,14.4,14965,54348959,0.0856,19.3,1.65,863693,431846
foodinsecu,copd,75,22.7,14.4,14965,54348959,0.16,19.3,3.08,1615115,807557
foodinsecu,stroke,75,22.7,14.4,14965,54348959,0.0764,19.3,1.47,770711,385355
housinsecu,diabetes,90,25.9,11.7,5951,20577818,0.287,20.4,5.84,1180282,590141
housinsecu,depression,90,25.9,11.7,5951,20577818,-0.0182,20.4,-0.37,-75004,-37502
housinsecu,casthma,90,25.9,11.7,5951,20577818,0.0972,20.4,1.98,399644,199822
housinsecu,obesity,90,25.9,11.7,5951,20577818,0.2021,20.4,4.12,831276,415638
housinsecu,chd,90,25.9,11.7,5951,20577818,0.0821,20.4,1.67,337666,168833
housinsecu,copd,90,25.9,11.7,5951,20577818,0.191,20.4,3.89,785499,392749
housinsecu,stroke,90,25.9,11.7,5951,20577818,0.0866,20.4,1.76,356159,178079
housinsecu,diabetes,75,17.7,11.7,14928,55049419,0.287,13.9,4.0,2132573,1066286
