hrsn_measure,disease,beta_q10,beta_q90,gradient_slope,gradient_direction,sign_reversal,ratio_q90_q10
loneliness,diabetes,-0.1357,0.0685,0.2418,increasing,True,-0.5
loneliness,depression,-0.0261,0.2303,0.275,increasing,True,-8.82
loneliness,casthma,-0.1696,0.1444,0.3555,increasing,True,-0.85
loneliness,obesity,-0.442,-0.3163,0.1251,increasing,False,0.72
loneliness,chd,-0.2175,-0.1886,0.0328,increasing,False,0.87
loneliness,copd,-0.1525,-0.0984,0.065,increasing,False,0.65
loneliness,stroke,-0.1329,-0.0802,0.0625,increasing,False,0.6
foodstamp,diabetes,0.4326,0.5873,0.1892,increasing,False,1.36
foodstamp,depression,0.201,0.3157,0.0966,increasing,False,1.57
foodstamp,casthma,0.5165,0.7962,0.3,increasing,False,1.54
foodstamp,obesity,0.0957,0.2902,0.2149,increasing,False,3.03
foodstamp,chd,0.3767,0.4739,0.118,increasing,False,1.26
foodstamp,copd,0.4433,0.6275,0.2209,increasing,False,1.42
foodstamp,stroke,0.4555,0.6135,0.1896,increasing,False,1.35
foodinsecu,diabetes,0.6037,0.8563,0.3125,increasing,False,1.42
foodinsecu,depression,-0.3601,0.2731,0.7556,increasing,True,-0.76
foodinsecu,casthma,-0.0205,0.6933,0.8813,increasing,True,-33.82
foodinsecu,obesity,-0.0649,0.4148,0.5203,increasing,True,-6.39
foodinsecu,chd,0.2766,0.6069,0.3891,increasing,False,2.19
foodinsecu,copd,0.3303,0.8265,0.5897,increasing,False,2.5
foodinsecu,stroke,0.4383,0.8024,0.4287,increasing,False,1.83
housinsecu,diabetes,0.4287,0.6945,0.3275,increasing,False,1.62
housinsecu,depression,-0.2649,0.2251,0.6104,increasing,True,-0.85
housinsecu,casthma,0.3487,0.7833,0.493,increasing,False,2.25
housinsecu,obesity,0.0062,0.3748,0.42,increasing,False,60.45
housinsecu,chd,0.2085,0.3804,0.2049,increasing,False,1.82
housinsecu,copd,0.3421,0.6364,0.352,increasing,False,1.86
housinsecu,stroke,0.3572,0.6238,0.3112,increasing,False,1.75
shututility,diabetes,0.5456,0.6978,0.1911,increasing,False,1.28
shututility,depression,0.2218,0.5862,0.3949,increasing,False,2.64
shututility,casthma,0.6023,0.9008,0.337,increasing,False,1.5
shututility,obesity,0.5449,0.4838,-0.0553,decreasing,False,0.89
shututility,chd,0.4585,0.6119,0.1796,increasing,False,1.33
shututility,copd,0.6371,0.8573,0.2586,increasing,False,1.35
shututility,stroke,0.5018,0.7297,0.2678,increasing,False,1.45
lacktrpt,diabetes,0.3046,0.7277,0.4954,increasing,False,2.39
lacktrpt,depression,0.0462,0.4308,0.4354,increasing,False,9.32
lacktrpt,casthma,0.3718,0.8722,0.5868,increasing,False,2.35
lacktrpt,obesity,0.0861,0.3444,0.2872,increasing,False,4.0
lacktrpt,chd,0.1943,0.5441,0.4058,increasing,False,2.8
lacktrpt,copd,0.3341,0.7823,0.5318,increasing,False,2.34
lacktrpt,stroke,0.3161,0.757,0.5091,increasing,False,2.39
emotionspt,diabetes,-0.0346,0.117,0.186,increasing,True,-3.38
emotionspt,depression,-0.5511,-0.16,0.4881,increasing,False,0.29
emotionspt,casthma,-0.4211,0.2675,0.802,increasing,True,-0.64
emotionspt,obesity,-0.5442,-0.3613,0.2056,increasing,False,0.66
emotionspt,chd,-0.1636,-0.1343,0.0331,increasing,False,0.82
emotionspt,copd,-0.1581,-0.1059,0.0638,increasing,False,0.67
emotionspt,stroke,-0.0363,0.035,0.0781,increasing,True,-0.96
