hrsn_measure,disease,quantile,beta,se,ci_lower,ci_upper,ols_beta,n_obs
loneliness,diabetes,0.1,-0.1357,0.0045,-0.1446,-0.1268,-0.0667,60156
loneliness,diabetes,0.25,-0.0751,0.0035,-0.082,-0.0683,-0.0667,60156
loneliness,diabetes,0.5,-0.0201,0.0034,-0.0268,-0.0134,-0.0667,60156
loneliness,diabetes,0.75,0.0285,0.004,0.0207,0.0364,-0.0667,60156
loneliness,diabetes,0.9,0.0685,0.0059,0.057,0.0801,-0.0667,60156
loneliness,depression,0.1,-0.0261,0.0114,-0.0485,-0.0037,0.086,60156
loneliness,depression,0.25,0.0687,0.0085,0.0519,0.0854,0.086,60156
loneliness,depression,0.5,0.1254,0.0059,0.1139,0.1369,0.086,60156
loneliness,depression,0.75,0.1479,0.0056,0.1369,0.1589,0.086,60156
loneliness,depression,0.9,0.2303,0.0062,0.2181,0.2425,0.086,60156
loneliness,casthma,0.1,-0.1696,0.01,-0.1892,-0.15,-0.0553,60156
loneliness,casthma,0.25,-0.1399,0.0063,-0.1522,-0.1276,-0.0553,60156
loneliness,casthma,0.5,-0.092,0.0047,-0.1013,-0.0827,-0.0553,60156
loneliness,casthma,0.75,-0.0095,0.0047,-0.0188,-0.0002,-0.0553,60156
loneliness,casthma,0.9,0.1444,0.0074,0.1298,0.159,-0.0553,60156
loneliness,obesity,0.1,-0.442,0.0073,-0.4563,-0.4278,-0.3809,60156
loneliness,obesity,0.25,-0.3799,0.005,-0.3898,-0.37,-0.3809,60156
loneliness,obesity,0.5,-0.3646,0.0042,-0.3729,-0.3563,-0.3809,60156
loneliness,obesity,0.75,-0.3583,0.0041,-0.3664,-0.3501,-0.3809,60156
loneliness,obesity,0.9,-0.3163,0.0049,-0.3259,-0.3067,-0.3809,60156
loneliness,chd,0.1,-0.2175,0.005,-0.2273,-0.2078,-0.2188,60156
loneliness,chd,0.25,-0.1947,0.0036,-0.2017,-0.1877,-0.2188,60156
loneliness,chd,0.5,-0.1828,0.0033,-0.1892,-0.1764,-0.2188,60156
loneliness,chd,0.75,-0.1825,0.0038,-0.19,-0.175,-0.2188,60156
loneliness,chd,0.9,-0.1886,0.0049,-0.1982,-0.179,-0.2188,60156
loneliness,copd,0.1,-0.1525,0.0045,-0.1613,-0.1436,-0.136,60156
loneliness,copd,0.25,-0.1313,0.0033,-0.1378,-0.1248,-0.136,60156
loneliness,copd,0.5,-0.1152,0.003,-0.1211,-0.1092,-0.136,60156
loneliness,copd,0.75,-0.1022,0.0035,-0.109,-0.0955,-0.136,60156
loneliness,copd,0.9,-0.0984,0.0048,-0.1079,-0.089,-0.136,60156
loneliness,stroke,0.1,-0.1329,0.0039,-0.1405,-0.1252,-0.1328,60156
loneliness,stroke,0.25,-0.1094,0.003,-0.1153,-0.1036,-0.1328,60156
loneliness,stroke,0.5,-0.0912,0.0027,-0.0965,-0.0859,-0.1328,60156
loneliness,stroke,0.75,-0.0825,0.0031,-0.0886,-0.0765,-0.1328,60156
loneliness,stroke,0.9,-0.0802,0.0044,-0.0888,-0.0716,-0.1328,60156
foodstamp,diabetes,0.1,0.4326,0.0065,0.4199,0.4453,0.5013,60156
foodstamp,diabetes,0.25,0.4346,0.0047,0.4255,0.4438,0.5013,60156
foodstamp,diabetes,0.5,0.4598,0.0046,0.4509,0.4688,0.5013,60156
foodstamp,diabetes,0.75,0.5238,0.0053,0.5135,0.5341,0.5013,60156
foodstamp,diabetes,0.9,0.5873,0.0067,0.5743,0.6004,0.5013,60156
foodstamp,depression,0.1,0.201,0.0141,0.1734,0.2285,0.2496,60156
foodstamp,depression,0.25,0.3116,0.0114,0.2892,0.3339,0.2496,60156
foodstamp,depression,0.5,0.3088,0.0084,0.2923,0.3254,0.2496,60156
foodstamp,depression,0.75,0.3,0.0078,0.2847,0.3154,0.2496,60156
foodstamp,depression,0.9,0.3157,0.01,0.296,0.3354,0.2496,60156
foodstamp,casthma,0.1,0.5165,0.0106,0.4957,0.5372,0.6438,60156
foodstamp,casthma,0.25,0.6022,0.0074,0.5878,0.6167,0.6438,60156
foodstamp,casthma,0.5,0.6547,0.0065,0.642,0.6675,0.6438,60156
foodstamp,casthma,0.75,0.6887,0.0065,0.676,0.7015,0.6438,60156
foodstamp,casthma,0.9,0.7962,0.0111,0.7744,0.818,0.6438,60156
foodstamp,obesity,0.1,0.0957,0.0102,0.0757,0.1156,0.2086,60156
foodstamp,obesity,0.25,0.1893,0.0071,0.1754,0.2033,0.2086,60156
foodstamp,obesity,0.5,0.2235,0.0062,0.2114,0.2356,0.2086,60156
foodstamp,obesity,0.75,0.2606,0.0067,0.2475,0.2737,0.2086,60156
foodstamp,obesity,0.9,0.2902,0.0076,0.2752,0.3051,0.2086,60156
foodstamp,chd,0.1,0.3767,0.0064,0.3642,0.3893,0.4127,60156
foodstamp,chd,0.25,0.3619,0.005,0.3521,0.3716,0.4127,60156
foodstamp,chd,0.5,0.3808,0.0046,0.3718,0.3897,0.4127,60156
foodstamp,chd,0.75,0.4164,0.0055,0.4057,0.4272,0.4127,60156
foodstamp,chd,0.9,0.4739,0.0074,0.4594,0.4883,0.4127,60156
foodstamp,copd,0.1,0.4433,0.0051,0.4333,0.4533,0.5427,60156
foodstamp,copd,0.25,0.4587,0.0041,0.4507,0.4667,0.5427,60156
foodstamp,copd,0.5,0.4897,0.0041,0.4817,0.4977,0.5427,60156
foodstamp,copd,0.75,0.5572,0.0049,0.5477,0.5668,0.5427,60156
foodstamp,copd,0.9,0.6275,0.0069,0.6141,0.641,0.5427,60156
foodstamp,stroke,0.1,0.4555,0.0052,0.4454,0.4656,0.5395,60156
foodstamp,stroke,0.25,0.4541,0.0038,0.4467,0.4614,0.5395,60156
foodstamp,stroke,0.5,0.4781,0.0035,0.4712,0.4849,0.5395,60156
foodstamp,stroke,0.75,0.5388,0.0042,0.5306,0.5471,0.5395,60156
foodstamp,stroke,0.9,0.6135,0.0059,0.6019,0.625,0.5395,60156
foodinsecu,diabetes,0.1,0.6037,0.0075,0.589,0.6185,0.7325,60156
foodinsecu,diabetes,0.25,0.6355,0.0057,0.6243,0.6467,0.7325,60156
foodinsecu,diabetes,0.5,0.7106,0.0052,0.7004,0.7207,0.7325,60156
foodinsecu,diabetes,0.75,0.7876,0.0056,0.7767,0.7986,0.7325,60156
foodinsecu,diabetes,0.9,0.8563,0.0073,0.8419,0.8706,0.7325,60156
foodinsecu,depression,0.1,-0.3601,0.0197,-0.3987,-0.3214,-0.0516,60156
foodinsecu,depression,0.25,-0.1556,0.0148,-0.1846,-0.1266,-0.0516,60156
foodinsecu,depression,0.5,0.0619,0.0106,0.0411,0.0827,-0.0516,60156
foodinsecu,depression,0.75,0.1763,0.01,0.1567,0.1958,-0.0516,60156
