hrsn_measure,outcome,residual_morans_i,z_score,p_value,significant_05,n_obs,r_squared
loneliness,diabetes,0.4127,174.9726,0.001,True,59565,0.7515
loneliness,depression,0.8452,354.0479,0.001,True,59565,0.4244
loneliness,casthma,0.7954,332.8134,0.001,True,59565,0.5508
loneliness,obesity,0.7008,286.022,0.001,True,59565,0.7295
loneliness,chd,0.2784,112.0318,0.001,True,59565,0.7669
loneliness,copd,0.3181,135.9143,0.001,True,59565,0.778
loneliness,stroke,0.2498,102.2896,0.001,True,59565,0.7892
foodstamp,diabetes,0.5011,210.333,0.001,True,59565,0.7956
foodstamp,depression,0.8455,351.0376,0.001,True,59565,0.4349
foodstamp,casthma,0.8086,342.2118,0.001,True,59565,0.6272
foodstamp,obesity,0.7658,310.9554,0.001,True,59565,0.683
foodstamp,chd,0.2978,121.6325,0.001,True,59565,0.7807
foodstamp,copd,0.4282,172.5355,0.001,True,59565,0.8268
foodstamp,stroke,0.3089,126.1931,0.001,True,59565,0.8357
foodinsecu,diabetes,0.4299,176.9013,0.001,True,59565,0.8139
foodinsecu,depression,0.8419,347.3681,0.001,True,59565,0.4215
foodinsecu,casthma,0.8354,345.3127,0.001,True,59565,0.565
foodinsecu,obesity,0.7637,317.1232,0.001,True,59565,0.6818
foodinsecu,chd,0.2679,113.059,0.001,True,59565,0.7764
foodinsecu,copd,0.386,159.7433,0.001,True,59565,0.8211
foodinsecu,stroke,0.2529,108.093,0.001,True,59565,0.8347
housinsecu,diabetes,0.4468,181.5319,0.001,True,59565,0.7832
housinsecu,depression,0.841,346.0018,0.001,True,59565,0.4215
housinsecu,casthma,0.8267,336.1922,0.001,True,59565,0.5807
housinsecu,obesity,0.7579,319.161,0.001,True,59565,0.6792
housinsecu,chd,0.2619,110.3423,0.001,True,59565,0.7597
housinsecu,copd,0.3562,154.4605,0.001,True,59565,0.8013
housinsecu,stroke,0.258,106.0191,0.001,True,59565,0.8119
shututility,diabetes,0.4629,196.9299,0.001,True,59565,0.807
shututility,depression,0.8437,351.8504,0.001,True,59565,0.4427
shututility,casthma,0.8203,347.3338,0.001,True,59565,0.6225
shututility,obesity,0.7855,318.6675,0.001,True,59565,0.7161
shututility,chd,0.2425,101.304,0.001,True,59565,0.7886
shututility,copd,0.329,138.2903,0.001,True,59565,0.8508
shututility,stroke,0.2577,105.7844,0.001,True,59565,0.8403
lacktrpt,diabetes,0.426,175.9847,0.001,True,59565,0.7828
lacktrpt,depression,0.8534,352.1879,0.001,True,59565,0.4303
lacktrpt,casthma,0.8362,350.6929,0.001,True,59565,0.5933
lacktrpt,obesity,0.758,319.0819,0.001,True,59565,0.6823
lacktrpt,chd,0.2549,106.4204,0.001,True,59565,0.7661
lacktrpt,copd,0.3594,150.7461,0.001,True,59565,0.8114
lacktrpt,stroke,0.2329,101.3426,0.001,True,59565,0.8204
emotionspt,diabetes,0.3953,161.3088,0.001,True,59565,0.7509
emotionspt,depression,0.8347,353.9539,0.001,True,59565,0.4674
emotionspt,casthma,0.7883,331.0404,0.001,True,59565,0.5632
emotionspt,obesity,0.6513,268.8546,0.001,True,59565,0.7396
emotionspt,chd,0.2516,103.3356,0.001,True,59565,0.7539
emotionspt,copd,0.3063,129.3287,0.001,True,59565,0.7735
emotionspt,stroke,0.2353,99.6404,0.001,True,59565,0.7826
