hrsn_measure,hrsn_label,outcome,outcome_label,beta_std,se_std,beta_unstd,se_unstd,ci_lower_unstd,ci_upper_unstd,pvalue,ci_lower,ci_upper,r_squared,adj_r_squared,n_obs,n_clusters,significant_05,significant_01,significant_001,pvalue_fdr,significant_fdr_05
loneliness,Loneliness/Social isolation,diabetes,Diabetes,-0.0667,0.027,-0.059263,0.023989,-0.10628,-0.012247,0.01349311098800955,-0.1196,-0.0138,0.7496,0.7496,60156,2294,True,False,False,0.015026419054828818,True
loneliness,Loneliness/Social isolation,depression,Depression,0.086,0.0675,0.077026,0.060443,-0.041441,0.195493,0.2025393147903587,-0.0463,0.2183,0.4094,0.4093,60156,2294,False,False,False,0.21754963420478832,False
loneliness,Loneliness/Social isolation,casthma,Asthma,-0.0553,0.0616,-0.017345,0.019329,-0.05523,0.020539,0.3695209982854353,-0.1761,0.0655,0.5486,0.5486,60156,2294,False,False,False,0.3852452960848155,False
loneliness,Loneliness/Social isolation,obesity,Obesity,-0.3809,0.0396,-0.647455,0.067279,-0.77932,-0.515591,6.368249827029981e-22,-0.4584,-0.3033,0.7244,0.7244,60156,2294,True,True,True,1.1557194130535892e-21,True
loneliness,Loneliness/Social isolation,chd,Coronary heart disease,-0.2188,0.0133,-0.099063,0.006028,-0.110878,-0.087248,1.0970058763493372e-60,-0.2449,-0.1927,0.7653,0.7653,60156,2294,True,True,True,2.9862937745065285e-60,True
loneliness,Loneliness/Social isolation,copd,COPD,-0.136,0.0156,-0.086516,0.009906,-0.105931,-0.067101,2.4594937136263577e-18,-0.1665,-0.1055,0.7748,0.7747,60156,2294,True,True,True,4.017173065589717e-18,True
loneliness,Loneliness/Social isolation,stroke,Stroke,-0.1328,0.0173,-0.037841,0.004917,-0.047479,-0.028204,1.4099120176025074e-14,-0.1667,-0.099,0.7879,0.7879,60156,2294,True,True,True,2.1589277769538395e-14,True
foodstamp,Food stamps/SNAP,diabetes,Diabetes,0.5013,0.0219,0.173274,0.007577,0.158422,0.188125,9.899217160816014e-116,0.4583,0.5443,0.7947,0.7947,60156,2294,True,True,True,4.0421803406665394e-115,True
foodstamp,Food stamps/SNAP,depression,Depression,0.2496,0.0414,0.086915,0.014422,0.058649,0.115181,1.673795527146644e-09,0.1684,0.3307,0.4182,0.4181,60156,2294,True,True,True,2.2782216897273765e-09,True
foodstamp,Food stamps/SNAP,casthma,Asthma,0.6438,0.0475,0.078515,0.005788,0.067172,0.089859,6.371916487766495e-42,0.5508,0.7369,0.6246,0.6245,60156,2294,True,True,True,1.3009329495856594e-41,True
