hrsn_measure,hrsn_label,outcome,outcome_label,beta_std,se_std,pvalue,r_squared,n_obs,significant_05,covariates_used
loneliness,Loneliness/Social isolation,diabetes,Diabetes,-0.178,0.0289,7.463658897631867e-10,0.4495,60156,True,"pct_black, pct_hispanic, pct_poverty"
loneliness,Loneliness/Social isolation,depression,Depression,0.2585,0.0744,0.0005146956667415484,0.3028,60156,True,"pct_black, pct_hispanic, pct_poverty"
loneliness,Loneliness/Social isolation,casthma,Asthma,0.0515,0.0698,0.4607216920383628,0.422,60156,False,"pct_black, pct_hispanic, pct_poverty"
loneliness,Loneliness/Social isolation,obesity,Obesity,-0.2055,0.0672,0.0022182138854689847,0.373,60156,True,"pct_black, pct_hispanic, pct_poverty"
loneliness,Loneliness/Social isolation,chd,Coronary heart disease,-0.3937,0.0272,1.381785372291708e-47,0.2664,60156,True,"pct_black, pct_hispanic, pct_poverty"
loneliness,Loneliness/Social isolation,copd,COPD,-0.1689,0.032,1.2797761061893282e-07,0.4053,60156,True,"pct_black, pct_hispanic, pct_poverty"
loneliness,Loneliness/Social isolation,stroke,Stroke,-0.2695,0.0252,9.223255707157855e-27,0.4413,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodstamp,Food stamps/SNAP,diabetes,Diabetes,0.7886,0.0282,1.6905078790926283e-172,0.576,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodstamp,Food stamps/SNAP,depression,Depression,0.4409,0.0399,2.2399238513137078e-28,0.317,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodstamp,Food stamps/SNAP,casthma,Asthma,0.8361,0.0354,3.786793257433332e-123,0.5788,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodstamp,Food stamps/SNAP,obesity,Obesity,0.6667,0.0313,1.1036816879597202e-100,0.4547,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodstamp,Food stamps/SNAP,chd,Coronary heart disease,0.7706,0.029,1.971917090154461e-155,0.3318,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodstamp,Food stamps/SNAP,copd,COPD,0.9245,0.0274,3.5202088868078755e-250,0.5858,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodstamp,Food stamps/SNAP,stroke,Stroke,0.8191,0.0248,1.0719351039682658e-238,0.5607,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodinsecu,Food insecurity,diabetes,Diabetes,0.994,0.0271,1.756876126464548e-294,0.6084,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodinsecu,Food insecurity,depression,Depression,0.3652,0.0696,1.5631631991391965e-07,0.2965,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodinsecu,Food insecurity,casthma,Asthma,0.7092,0.0493,6.715100136076098e-47,0.5088,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodinsecu,Food insecurity,obesity,Obesity,0.8918,0.065,6.977823906809217e-43,0.4934,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodinsecu,Food insecurity,chd,Coronary heart disease,0.86,0.0402,2.1691041843499567e-101,0.327,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodinsecu,Food insecurity,copd,COPD,1.0845,0.0455,8.476935846736296e-126,0.5985,60156,True,"pct_black, pct_hispanic, pct_poverty"
foodinsecu,Food insecurity,stroke,Stroke,0.9327,0.0332,1.639832206400428e-173,0.5613,60156,True,"pct_black, pct_hispanic, pct_poverty"
housinsecu,Housing insecurity,diabetes,Diabetes,0.813,0.0329,8.208124625837184e-135,0.5379,60156,True,"pct_black, pct_hispanic, pct_poverty"
housinsecu,Housing insecurity,depression,Depression,0.4425,0.0662,2.3645735144141706e-11,0.3034,60156,True,"pct_black, pct_hispanic, pct_poverty"
housinsecu,Housing insecurity,casthma,Asthma,0.8693,0.049,2.1771040426675004e-70,0.5379,60156,True,"pct_black, pct_hispanic, pct_poverty"
housinsecu,Housing insecurity,obesity,Obesity,0.9181,0.0638,5.214383571916908e-47,0.4848,60156,True,"pct_black, pct_hispanic, pct_poverty"
housinsecu,Housing insecurity,chd,Coronary heart disease,0.6475,0.0436,8.754928695872421e-50,0.2625,60156,True,"pct_black, pct_hispanic, pct_poverty"
housinsecu,Housing insecurity,copd,COPD,0.9779,0.0427,7.855224449809841e-116,0.5407,60156,True,"pct_black, pct_hispanic, pct_poverty"
housinsecu,Housing insecurity,stroke,Stroke,0.7584,0.0377,3.451392604270903e-90,0.4981,60156,True,"pct_black, pct_hispanic, pct_poverty"
shututility,Utility shutoff threat,diabetes,Diabetes,0.8173,0.033,1.6077363430634226e-135,0.5708,60156,True,"pct_black, pct_hispanic, pct_poverty"
shututility,Utility shutoff threat,depression,Depression,0.6279,0.0363,7.165865412154466e-67,0.353,60156,True,"pct_black, pct_hispanic, pct_poverty"
shututility,Utility shutoff threat,casthma,Asthma,0.9094,0.0337,1.3355054450448825e-160,0.5884,60156,True,"pct_black, pct_hispanic, pct_poverty"
shututility,Utility shutoff threat,obesity,Obesity,0.998,0.0549,9.830801080147182e-74,0.556,60156,True,"pct_black, pct_hispanic, pct_poverty"
shututility,Utility shutoff threat,chd,Coronary heart disease,0.7599,0.0321,3.4871005616560004e-124,0.3146,60156,True,"pct_black, pct_hispanic, pct_poverty"
shututility,Utility shutoff threat,copd,COPD,1.0461,0.026,0.0,0.6143,60156,True,"pct_black, pct_hispanic, pct_poverty"
shututility,Utility shutoff threat,stroke,Stroke,0.8033,0.0265,3.566520567609449e-202,0.5398,60156,True,"pct_black, pct_hispanic, pct_poverty"
lacktrpt,Transportation barriers,diabetes,Diabetes,0.6961,0.0257,3.311963836309633e-161,0.52,60156,True,"pct_black, pct_hispanic, pct_poverty"
lacktrpt,Transportation barriers,depression,Depression,0.5906,0.038,1.402347911841946e-54,0.334,60156,True,"pct_black, pct_hispanic, pct_poverty"
lacktrpt,Transportation barriers,casthma,Asthma,0.8539,0.0293,1.8423752800266195e-186,0.5481,60156,True,"pct_black, pct_hispanic, pct_poverty"
lacktrpt,Transportation barriers,obesity,Obesity,0.8225,0.0397,2.0009722837389356e-95,0.4723,60156,True,"pct_black, pct_hispanic, pct_poverty"
lacktrpt,Transportation barriers,chd,Coronary heart disease,0.5886,0.0319,7.971010488328408e-76,0.258,60156,True,"pct_black, pct_hispanic, pct_poverty"
lacktrpt,Transportation barriers,copd,COPD,0.899,0.0257,3.551214779862566e-268,0.5336,60156,True,"pct_black, pct_hispanic, pct_poverty"
lacktrpt,Transportation barriers,stroke,Stroke,0.7001,0.0255,1.3767761259270174e-165,0.4946,60156,True,"pct_black, pct_hispanic, pct_poverty"
emotionspt,Lack of social support,diabetes,Diabetes,0.2399,0.0293,2.410020980081784e-16,0.4559,60156,True,"pct_black, pct_hispanic, pct_poverty"
emotionspt,Lack of social support,depression,Depression,-0.176,0.0861,0.041015878870913014,0.2841,60156,True,"pct_black, pct_hispanic, pct_poverty"
