outcome,outcome_label,feature,feature_label,feature_type,mean_abs_shap,permutation_importance,rf_feature_importance,ols_beta_std,ols_abs_beta,rf_r2_train,rf_r2_test
diabetes,Diabetes,loneliness,Loneliness/Social isolation,hrsn,0.15246,0.012487,0.018164,-0.0667,0.0667,0.9365,0.8943
diabetes,Diabetes,foodstamp,Food stamps/SNAP,hrsn,0.475423,0.04422,0.118017,0.5013,0.5013,0.9365,0.8943
diabetes,Diabetes,foodinsecu,Food insecurity,hrsn,0.956815,0.194675,0.136166,0.7325,0.7325,0.9365,0.8943
diabetes,Diabetes,housinsecu,Housing insecurity,hrsn,0.083576,0.013043,0.048493,0.569,0.569,0.9365,0.8943
diabetes,Diabetes,shututility,Utility shutoff threat,hrsn,0.732094,0.129887,0.172015,0.611,0.611,0.9365,0.8943
diabetes,Diabetes,lacktrpt,Transportation barriers,hrsn,0.143224,0.021482,0.068258,0.5064,0.5064,0.9365,0.8943
diabetes,Diabetes,emotionspt,Lack of social support,hrsn,0.087293,0.012474,0.019352,0.0683,0.0683,0.9365,0.8943
diabetes,Diabetes,pct_black,pct_black,covariate,0.174191,0.021663,0.045804,,,0.9365,0.8943
diabetes,Diabetes,pct_hispanic,pct_hispanic,covariate,0.212029,0.018839,0.029065,,,0.9365,0.8943
diabetes,Diabetes,pct_poverty,pct_poverty,covariate,0.117663,0.007413,0.041466,,,0.9365,0.8943
diabetes,Diabetes,pct_college,pct_college,covariate,0.699961,0.092132,0.126575,,,0.9365,0.8943
diabetes,Diabetes,pct_65plus,pct_65plus,covariate,0.690229,0.110592,0.102387,,,0.9365,0.8943
diabetes,Diabetes,median_age,median_age,covariate,0.495088,0.068896,0.074238,,,0.9365,0.8943
depression,Depression,loneliness,Loneliness/Social isolation,hrsn,0.287427,0.060469,0.05121,0.086,0.086,0.8229,0.7224
depression,Depression,foodstamp,Food stamps/SNAP,hrsn,0.583674,0.138409,0.076666,0.2496,0.2496,0.8229,0.7224
depression,Depression,foodinsecu,Food insecurity,hrsn,0.363117,0.082003,0.045896,-0.0516,0.0516,0.8229,0.7224
depression,Depression,housinsecu,Housing insecurity,hrsn,0.440551,0.117753,0.06033,-0.0359,0.0359,0.8229,0.7224
depression,Depression,shututility,Utility shutoff threat,hrsn,1.045601,0.320695,0.127696,0.3701,0.3701,0.8229,0.7224
depression,Depression,lacktrpt,Transportation barriers,hrsn,0.600593,0.146856,0.074254,0.2377,0.2377,0.8229,0.7224
depression,Depression,emotionspt,Lack of social support,hrsn,1.40589,0.57541,0.164739,-0.443,0.443,0.8229,0.7224
depression,Depression,pct_black,pct_black,covariate,0.609766,0.135071,0.083356,,,0.8229,0.7224
depression,Depression,pct_hispanic,pct_hispanic,covariate,0.657857,0.150171,0.115834,,,0.8229,0.7224
depression,Depression,pct_poverty,pct_poverty,covariate,0.225953,0.025538,0.0514,,,0.8229,0.7224
depression,Depression,pct_college,pct_college,covariate,0.31769,0.059211,0.06172,,,0.8229,0.7224
