outcome,model,fold,cv_strategy,n_train,n_test,rmse,mae,r2_oos,r2_insample
diabetes,HRSN + Covariates,0,Random (10-fold),54115,6013,0.3492024403155274,0.26948168324186267,0.8781721784703894,0.8754143761071196
diabetes,HRSN + Covariates,1,Random (10-fold),54115,6013,0.344817606129763,0.2649757100404319,0.8771755695402504,0.8755255776755652
diabetes,HRSN + Covariates,2,Random (10-fold),54115,6013,0.356251401262576,0.27051886206371656,0.8784369442478587,0.8753611356934125
diabetes,HRSN + Covariates,3,Random (10-fold),54115,6013,0.34578800058829323,0.2639534470790939,0.8791651866834954,0.8753092379137024
diabetes,HRSN + Covariates,4,Random (10-fold),54115,6013,0.3503159962737601,0.26797617545123087,0.8790335511468854,0.8753091687461874
diabetes,HRSN + Covariates,5,Random (10-fold),54115,6013,0.3574023060203261,0.27096589954902844,0.8753351896907395,0.8757288875088263
diabetes,HRSN + Covariates,6,Random (10-fold),54115,6013,0.35434148311065816,0.26699404850523795,0.8680664570087048,0.8764872065130542
diabetes,HRSN + Covariates,7,Random (10-fold),54115,6013,0.3573630299744804,0.2723816601640021,0.8708357957425058,0.8762186487028747
diabetes,HRSN + Covariates,8,Random (10-fold),54116,6012,0.35575375873346055,0.2705327925752871,0.8726884408815158,0.8760178502422646
diabetes,HRSN + Covariates,9,Random (10-fold),54116,6012,0.3557977519525347,0.26596060681096784,0.8761218021345683,0.8756394612296373
diabetes,SVI + Covariates,0,Random (10-fold),54115,6013,0.4882608755286964,0.3620510816655696,0.7618252108019712,0.7649782081032536
diabetes,SVI + Covariates,1,Random (10-fold),54115,6013,0.4784238722126951,0.35648040362623534,0.7635542143864745,0.7647656564605236
diabetes,SVI + Covariates,2,Random (10-fold),54115,6013,0.4920791742341206,0.36307959275571583,0.7680692051222151,0.7642525671357223
diabetes,SVI + Covariates,3,Random (10-fold),54115,6013,0.47513338958284235,0.35150249736166417,0.7718590000044023,0.7638662583327629
diabetes,SVI + Covariates,4,Random (10-fold),54115,6013,0.4890387302257318,0.36466195623672326,0.764260963388983,0.764702699134892
diabetes,SVI + Covariates,5,Random (10-fold),54115,6013,0.48512720794603986,0.3588640598533547,0.7703108690354507,0.7640178160800823
diabetes,SVI + Covariates,6,Random (10-fold),54115,6013,0.4834157856538125,0.3589759589778251,0.7544426805114981,0.7657328934991512
diabetes,SVI + Covariates,7,Random (10-fold),54115,6013,0.49184662704836035,0.3605132210715951,0.7553290973520941,0.765678595432676
diabetes,SVI + Covariates,8,Random (10-fold),54116,6012,0.4822034873180073,0.3586022321976745,0.7661003694377271,0.764497742491901
diabetes,SVI + Covariates,9,Random (10-fold),54116,6012,0.48669362988899767,0.35971703532848603,0.7682072738649178,0.7642546225475972
diabetes,HRSN + SVI + Covariates,0,Random (10-fold),54115,6013,0.34545441446925546,0.26536853949719075,0.8807733251394652,0.8789985948223765
diabetes,HRSN + SVI + Covariates,1,Random (10-fold),54115,6013,0.3398475706914415,0.26080286085246096,0.8806907175720156,0.879009382933033
diabetes,HRSN + SVI + Covariates,2,Random (10-fold),54115,6013,0.3512962453886333,0.2660692395854451,0.8817951048129098,0.8788639355159468
diabetes,HRSN + SVI + Covariates,3,Random (10-fold),54115,6013,0.34216012561579223,0.26045927620407117,0.8816873908695891,0.8789001792968952
diabetes,HRSN + SVI + Covariates,4,Random (10-fold),54115,6013,0.34575018221669473,0.26471716994657785,0.8821662146475713,0.8788351599442447
diabetes,HRSN + SVI + Covariates,5,Random (10-fold),54115,6013,0.3533065326084895,0.2678736953782594,0.8781760953951472,0.8792890823283159
diabetes,HRSN + SVI + Covariates,6,Random (10-fold),54115,6013,0.34861748003252674,0.2629451021394617,0.8722945162088174,0.8798938571233162
diabetes,HRSN + SVI + Covariates,7,Random (10-fold),54115,6013,0.35087905923309676,0.2675428421133573,0.875480367831786,0.8795769462496706
diabetes,HRSN + SVI + Covariates,8,Random (10-fold),54116,6012,0.3498836781925203,0.26623069651741016,0.8768551627881865,0.8794297956907814
diabetes,HRSN + SVI + Covariates,9,Random (10-fold),54116,6012,0.35029928302499796,0.26153397188359556,0.8799210238794025,0.8790921899947444
diabetes,Covariates Only,0,Random (10-fold),54115,6013,0.5010309076261955,0.3701915740398008,0.7492037875958599,0.7488096128820119
diabetes,Covariates Only,1,Random (10-fold),54115,6013,0.49107582169914155,0.3644108955035813,0.7508832106308859,0.7486124451647194
diabetes,Covariates Only,2,Random (10-fold),54115,6013,0.5084861496139268,0.373828605014363,0.7523452273931887,0.7484231747255188
diabetes,Covariates Only,3,Random (10-fold),54115,6013,0.48876858849083754,0.3612941929810002,0.758576904834102,0.7477775087977144
diabetes,Covariates Only,4,Random (10-fold),54115,6013,0.5051091892617675,0.37571406396881973,0.7485130040721406,0.748880422669334
diabetes,Covariates Only,5,Random (10-fold),54115,6013,0.5021553784690884,0.367966637536931,0.7539035112888492,0.7482731246881908
diabetes,Covariates Only,6,Random (10-fold),54115,6013,0.5010831526646734,0.36984768260434064,0.7361659582958731,0.7501744741844929
diabetes,Covariates Only,7,Random (10-fold),54115,6013,0.5112496650795803,0.37343391220622274,0.7356441032379497,0.7502922746963044
diabetes,Covariates Only,8,Random (10-fold),54116,6012,0.498921561947323,0.36916336694310803,0.7496005395929144,0.7487580308171661
diabetes,Covariates Only,9,Random (10-fold),54116,6012,0.5041586967026063,0.37040867392518845,0.7512729576868535,0.7485654328175342
depression,HRSN + Covariates,0,Random (10-fold),54115,6013,0.611727977308245,0.48698370157088355,0.6326441665724023,0.6201667318837304
depression,HRSN + Covariates,1,Random (10-fold),54115,6013,0.6182673473781574,0.4881746963411415,0.6114298468826311,0.6225203875463811
depression,HRSN + Covariates,2,Random (10-fold),54115,6013,0.611145845908593,0.4861092493133643,0.6236039968124794,0.6211979790368709
depression,HRSN + Covariates,3,Random (10-fold),54115,6013,0.6256586933027594,0.4952401280739435,0.6049889033378153,0.6232493011134387
depression,HRSN + Covariates,4,Random (10-fold),54115,6013,0.6070656422564816,0.4809031845619149,0.6314535062086309,0.620322020831698
depression,HRSN + Covariates,5,Random (10-fold),54115,6013,0.6184661758387164,0.49401779638049387,0.6292455901599262,0.6205440127080941
depression,HRSN + Covariates,6,Random (10-fold),54115,6013,0.6186722226298402,0.49263229559599614,0.6180629662450211,0.6218144928500464
depression,HRSN + Covariates,7,Random (10-fold),54115,6013,0.6056164812656814,0.4836695469372649,0.6348551210509263,0.6199299652105812
depression,HRSN + Covariates,8,Random (10-fold),54116,6012,0.6145292470856802,0.48695493357283093,0.6125452560666712,0.6224022059239742
depression,HRSN + Covariates,9,Random (10-fold),54116,6012,0.6226718999364699,0.4958342048668139,0.6125101706156915,0.6224345447507607
depression,SVI + Covariates,0,Random (10-fold),54115,6013,0.7293697790164523,0.5854696729984534,0.4777652303589254,0.4678490209801105
depression,SVI + Covariates,1,Random (10-fold),54115,6013,0.7297046422347815,0.5833704357981961,0.45873364102343506,0.4699574407561886
