outcome,model,cv_strategy,rmse_mean,rmse_std,mae_mean,r2_oos_mean,r2_oos_std,r2_insample_mean,n_folds
casthma,Covariates Only,County-Blocked (10-fold),0.6745,0.0564,0.5167,0.5174,0.076,0.5496,10
casthma,Covariates Only,Random (10-fold),0.6712,0.0084,0.5122,0.5489,0.0179,0.5495,10
casthma,Covariates Only,State-Blocked (LOSO),0.7026,0.3135,0.5949,-0.224,1.4697,0.5494,40
casthma,HRSN + Covariates,County-Blocked (10-fold),0.5348,0.0403,0.4122,0.6914,0.0735,0.7276,10
casthma,HRSN + Covariates,Random (10-fold),0.5226,0.0049,0.4013,0.7265,0.0101,0.7271,10
casthma,HRSN + Covariates,State-Blocked (LOSO),0.5945,0.2184,0.4928,0.1713,0.8551,0.7277,40
casthma,HRSN + SVI + Covariates,County-Blocked (10-fold),0.5314,0.0423,0.4085,0.6951,0.074,0.7324,10
casthma,HRSN + SVI + Covariates,Random (10-fold),0.5181,0.0054,0.3968,0.7312,0.01,0.7318,10
casthma,HRSN + SVI + Covariates,State-Blocked (LOSO),0.6006,0.2259,0.4967,0.1613,0.8571,0.7325,40
casthma,SVI + Covariates,County-Blocked (10-fold),0.6568,0.0505,0.502,0.5411,0.0778,0.574,10
casthma,SVI + Covariates,Random (10-fold),0.6529,0.0085,0.4971,0.5732,0.0157,0.5739,10
casthma,SVI + Covariates,State-Blocked (LOSO),0.716,0.3038,0.5974,-0.2527,1.4125,0.5738,40
chd,Covariates Only,County-Blocked (10-fold),0.5018,0.015,0.3713,0.7462,0.0174,0.7493,10
chd,Covariates Only,Random (10-fold),0.5007,0.0084,0.3702,0.7491,0.0054,0.7493,10
chd,Covariates Only,State-Blocked (LOSO),0.51,0.0878,0.3857,0.6612,0.1042,0.7493,40
chd,HRSN + Covariates,County-Blocked (10-fold),0.3901,0.0194,0.2923,0.8462,0.0183,0.8522,10
chd,HRSN + Covariates,Random (10-fold),0.3848,0.0076,0.2878,0.8518,0.0037,0.852,10
chd,HRSN + Covariates,State-Blocked (LOSO),0.4211,0.1267,0.3305,0.7509,0.1856,0.8521,40
chd,HRSN + SVI + Covariates,County-Blocked (10-fold),0.3806,0.0189,0.2865,0.8537,0.0166,0.86,10
chd,HRSN + SVI + Covariates,Random (10-fold),0.3746,0.0082,0.2812,0.8596,0.0041,0.8598,10
chd,HRSN + SVI + Covariates,State-Blocked (LOSO),0.4102,0.1145,0.3209,0.7661,0.1538,0.86,40
chd,SVI + Covariates,County-Blocked (10-fold),0.4862,0.0152,0.3598,0.7618,0.0159,0.7649,10
chd,SVI + Covariates,Random (10-fold),0.485,0.0083,0.3586,0.7647,0.0049,0.7649,10
chd,SVI + Covariates,State-Blocked (LOSO),0.4941,0.0888,0.3732,0.6812,0.1038,0.7649,40
copd,Covariates Only,County-Blocked (10-fold),0.4817,0.0214,0.3521,0.765,0.0154,0.7686,10
copd,Covariates Only,Random (10-fold),0.4811,0.0071,0.3511,0.7684,0.0081,0.7686,10
copd,Covariates Only,State-Blocked (LOSO),0.4906,0.1113,0.3696,0.6049,0.2445,0.7686,40
copd,HRSN + Covariates,County-Blocked (10-fold),0.3295,0.0206,0.244,0.8897,0.0146,0.8942,10
copd,HRSN + Covariates,Random (10-fold),0.3255,0.0049,0.2408,0.8939,0.0038,0.8941,10
copd,HRSN + Covariates,State-Blocked (LOSO),0.3618,0.1383,0.2866,0.7396,0.357,0.8942,40
copd,HRSN + SVI + Covariates,County-Blocked (10-fold),0.3125,0.0156,0.233,0.9009,0.0107,0.9051,10
copd,HRSN + SVI + Covariates,Random (10-fold),0.3083,0.005,0.2295,0.9048,0.0037,0.905,10
copd,HRSN + SVI + Covariates,State-Blocked (LOSO),0.3428,0.1131,0.27,0.7753,0.2611,0.9051,40
copd,SVI + Covariates,County-Blocked (10-fold),0.4615,0.0196,0.3375,0.7843,0.0134,0.788,10
copd,SVI + Covariates,Random (10-fold),0.4605,0.0062,0.3363,0.7877,0.007,0.788,10
copd,SVI + Covariates,State-Blocked (LOSO),0.4688,0.0974,0.3512,0.6461,0.1866,0.788,40
depression,Covariates Only,County-Blocked (10-fold),0.769,0.1004,0.6129,0.381,0.0654,0.4079,10
depression,Covariates Only,Random (10-fold),0.7697,0.0059,0.6082,0.4074,0.0102,0.4076,10
depression,Covariates Only,State-Blocked (LOSO),0.7671,0.3563,0.6669,-1.2732,2.1793,0.4079,40
depression,HRSN + Covariates,County-Blocked (10-fold),0.6245,0.0631,0.4993,0.5841,0.078,0.6219,10
depression,HRSN + Covariates,Random (10-fold),0.6154,0.0065,0.4891,0.6211,0.0106,0.6215,10
depression,HRSN + Covariates,State-Blocked (LOSO),0.6281,0.2619,0.5416,-0.5338,1.5347,0.6221,40
depression,HRSN + SVI + Covariates,County-Blocked (10-fold),0.6072,0.0592,0.4843,0.6054,0.078,0.6422,10
depression,HRSN + SVI + Covariates,Random (10-fold),0.5987,0.0073,0.4751,0.6414,0.0115,0.6418,10
depression,HRSN + SVI + Covariates,State-Blocked (LOSO),0.6092,0.2566,0.5225,-0.4596,1.512,0.6425,40
depression,SVI + Covariates,County-Blocked (10-fold),0.7334,0.0789,0.5909,0.4321,0.0816,0.4692,10
depression,SVI + Covariates,Random (10-fold),0.7289,0.0039,0.5838,0.4685,0.0082,0.4689,10
depression,SVI + Covariates,State-Blocked (LOSO),0.7259,0.3018,0.6294,-1.0282,1.9902,0.4693,40
diabetes,Covariates Only,County-Blocked (10-fold),0.5022,0.0211,0.3708,0.7435,0.0285,0.7489,10
diabetes,Covariates Only,Random (10-fold),0.5012,0.007,0.3696,0.7486,0.0073,0.7489,10
diabetes,Covariates Only,State-Blocked (LOSO),0.5124,0.1206,0.3894,0.5964,0.2147,0.7489,40
diabetes,HRSN + Covariates,County-Blocked (10-fold),0.362,0.022,0.2769,0.8665,0.0187,0.876,10
diabetes,HRSN + Covariates,Random (10-fold),0.3527,0.0048,0.2684,0.8755,0.0038,0.8757,10
diabetes,HRSN + Covariates,State-Blocked (LOSO),0.388,0.1292,0.3083,0.7499,0.1918,0.8761,40
diabetes,HRSN + SVI + Covariates,County-Blocked (10-fold),0.3581,0.0256,0.2736,0.8689,0.0237,0.8795,10
diabetes,HRSN + SVI + Covariates,Random (10-fold),0.3477,0.0043,0.2644,0.879,0.0032,0.8792,10
diabetes,HRSN + SVI + Covariates,State-Blocked (LOSO),0.3849,0.1357,0.3076,0.7542,0.1946,0.8796,40
diabetes,SVI + Covariates,County-Blocked (10-fold),0.4871,0.017,0.3613,0.7587,0.0256,0.7647,10
diabetes,SVI + Covariates,Random (10-fold),0.4852,0.0056,0.3594,0.7644,0.0059,0.7647,10
diabetes,SVI + Covariates,State-Blocked (LOSO),0.4945,0.1195,0.3767,0.6268,0.1994,0.7647,40
obesity,Covariates Only,County-Blocked (10-fold),0.5761,0.0694,0.4509,0.6575,0.0714,0.6703,10
obesity,Covariates Only,Random (10-fold),0.5744,0.0074,0.4465,0.6698,0.0108,0.67,10
obesity,Covariates Only,State-Blocked (LOSO),0.5454,0.1351,0.4397,0.3536,0.4513,0.6701,40
obesity,HRSN + Covariates,County-Blocked (10-fold),0.446,0.0383,0.3551,0.7929,0.049,0.809,10
obesity,HRSN + Covariates,Random (10-fold),0.4375,0.0035,0.3472,0.8085,0.0039,0.8087,10
obesity,HRSN + Covariates,State-Blocked (LOSO),0.4713,0.1079,0.3868,0.4976,0.384,0.8088,40
obesity,HRSN + SVI + Covariates,County-Blocked (10-fold),0.4388,0.0408,0.3482,0.7989,0.0522,0.8148,10
obesity,HRSN + SVI + Covariates,Random (10-fold),0.431,0.003,0.3405,0.8142,0.0038,0.8144,10
obesity,HRSN + SVI + Covariates,State-Blocked (LOSO),0.4656,0.1047,0.3793,0.502,0.403,0.8145,40
obesity,SVI + Covariates,County-Blocked (10-fold),0.5301,0.0488,0.4191,0.7082,0.0678,0.7233,10
obesity,SVI + Covariates,Random (10-fold),0.5263,0.006,0.4138,0.7229,0.0084,0.7231,10
obesity,SVI + Covariates,State-Blocked (LOSO),0.5336,0.1029,0.4271,0.3697,0.4151,0.7231,40
stroke,Covariates Only,County-Blocked (10-fold),0.4661,0.0222,0.3281,0.7796,0.0169,0.7829,10
stroke,Covariates Only,Random (10-fold),0.466,0.0084,0.3278,0.7827,0.0067,0.7829,10
stroke,Covariates Only,State-Blocked (LOSO),0.4622,0.093,0.3329,0.7077,0.0855,0.7829,40
stroke,HRSN + Covariates,County-Blocked (10-fold),0.3421,0.0145,0.2489,0.8805,0.0174,0.8869,10
stroke,HRSN + Covariates,Random (10-fold),0.3367,0.0061,0.244,0.8865,0.0043,0.8867,10
stroke,HRSN + Covariates,State-Blocked (LOSO),0.3526,0.0996,0.2652,0.8216,0.0933,0.8869,40
stroke,HRSN + SVI + Covariates,County-Blocked (10-fold),0.3366,0.0168,0.2453,0.8841,0.0194,0.8912,10
stroke,HRSN + SVI + Covariates,Random (10-fold),0.3303,0.006,0.2398,0.8908,0.004,0.891,10
stroke,HRSN + SVI + Covariates,State-Blocked (LOSO),0.3454,0.0997,0.2596,0.8294,0.0894,0.8912,40
stroke,SVI + Covariates,County-Blocked (10-fold),0.455,0.0216,0.3217,0.7901,0.0146,0.7933,10
stroke,SVI + Covariates,Random (10-fold),0.4547,0.0074,0.3213,0.7931,0.0056,0.7933,10
stroke,SVI + Covariates,State-Blocked (LOSO),0.4506,0.0936,0.3262,0.7221,0.0844,0.7933,40
