state_fips,state_abbr,hrsn_measure,outcome,beta,se,pvalue,r_squared,n_tracts,medicaid_expanded,hrsn_waiver
01,AL,foodinsecu,diabetes,0.961,0.0464,2.1363437570765435e-95,0.867,1427,0,0
02,AK,foodinsecu,diabetes,0.6885,0.0561,1.3062979325304435e-34,0.8601,174,1,0
04,AZ,foodinsecu,diabetes,0.7163,0.0335,3.1855833340739846e-101,0.8415,1731,1,1
05,AR,foodinsecu,diabetes,0.8787,0.0452,3.5743221190940354e-84,0.8658,819,1,1
06,CA,foodinsecu,diabetes,0.6996,0.0182,0.0,0.8083,9023,1,1
09,CT,foodinsecu,diabetes,0.5423,0.1056,2.8256329698186233e-07,0.8321,872,1,0
10,DE,foodinsecu,diabetes,0.4482,0.1258,0.0003648020787571335,0.7318,256,1,0
11,DC,foodinsecu,diabetes,0.4094,0.0917,8.006884830615755e-06,0.9343,205,1,0
13,GA,foodinsecu,diabetes,0.8398,0.0319,8.355683408864933e-153,0.838,2782,0,0
15,HI,foodinsecu,diabetes,0.9648,0.0582,8.52004447965595e-62,0.8267,417,1,0
16,ID,foodinsecu,diabetes,0.5667,0.0855,3.501237645448491e-11,0.7148,452,1,0
17,IL,foodinsecu,diabetes,0.6782,0.0263,5.799415781193508e-147,0.8833,3256,1,0
18,IN,foodinsecu,diabetes,0.7984,0.0515,2.779158450508451e-54,0.8297,1681,1,0
19,IA,foodinsecu,diabetes,0.6417,0.0588,9.727018111767243e-28,0.7891,893,1,0
20,KS,foodinsecu,diabetes,0.8512,0.0518,8.700346289465078e-61,0.7957,815,0,0
22,LA,foodinsecu,diabetes,0.7831,0.0352,8.375789678014158e-110,0.8802,1362,1,0
23,ME,foodinsecu,diabetes,0.8276,0.0908,7.911050126725694e-20,0.8077,400,1,0
24,MD,foodinsecu,diabetes,0.6904,0.0484,4.216501869425898e-46,0.8522,1455,1,0
25,MA,foodinsecu,diabetes,0.8335,0.0415,8.714884359335933e-90,0.8576,1588,1,1
26,MI,foodinsecu,diabetes,0.7719,0.0339,4.606975300315619e-115,0.8781,2882,1,0
27,MN,foodinsecu,diabetes,0.7495,0.0544,3.577568463776221e-43,0.7746,1497,1,0
28,MS,foodinsecu,diabetes,0.8298,0.0486,1.779550539529567e-65,0.8704,869,0,0
