stratum_var,stratum_label,stratum_value,stratum_name,hrsn_measure,hrsn_label,outcome,outcome_label,beta,se,pvalue,ci_lower,ci_upper,r_squared,n_obs
medicaid_expanded,Medicaid Expansion,1,Expanded,loneliness,Loneliness/Social isolation,diabetes,Diabetes,-0.0489,0.0296,0.09889139569530346,-0.1069,0.0092,0.7361,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,loneliness,Loneliness/Social isolation,depression,Depression,0.1491,0.0828,0.0718806014864787,-0.0133,0.3114,0.4234,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,loneliness,Loneliness/Social isolation,casthma,Asthma,-0.064,0.0707,0.3658219791917905,-0.2026,0.0747,0.5989,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,loneliness,Loneliness/Social isolation,obesity,Obesity,-0.4004,0.0422,2.4311890788570305e-21,-0.4831,-0.3176,0.716,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,loneliness,Loneliness/Social isolation,chd,Coronary heart disease,-0.2149,0.0156,5.390106517677967e-43,-0.2455,-0.1842,0.7679,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,loneliness,Loneliness/Social isolation,copd,COPD,-0.1389,0.0178,6.957813720282589e-15,-0.1739,-0.1039,0.7769,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,loneliness,Loneliness/Social isolation,stroke,Stroke,-0.1224,0.0183,2.2478229259922755e-11,-0.1583,-0.0865,0.785,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodstamp,Food stamps/SNAP,diabetes,Diabetes,0.5405,0.0227,1.4114168001811466e-125,0.4961,0.585,0.7909,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodstamp,Food stamps/SNAP,depression,Depression,0.2301,0.0499,3.944745240870342e-06,0.1323,0.3278,0.4241,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodstamp,Food stamps/SNAP,casthma,Asthma,0.5334,0.0532,1.1695452533804357e-23,0.4292,0.6377,0.6437,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodstamp,Food stamps/SNAP,obesity,Obesity,0.1902,0.0302,2.9407508343395205e-10,0.131,0.2493,0.6614,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodstamp,Food stamps/SNAP,chd,Coronary heart disease,0.439,0.0205,1.1986843981377107e-101,0.3988,0.4792,0.7841,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodstamp,Food stamps/SNAP,copd,COPD,0.5694,0.0248,2.471210977055151e-116,0.5207,0.6181,0.8264,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodstamp,Food stamps/SNAP,stroke,Stroke,0.5589,0.0179,1.098959403165646e-214,0.5238,0.5939,0.8385,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodinsecu,Food insecurity,diabetes,Diabetes,0.7083,0.0186,0.0,0.6718,0.7447,0.8012,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodinsecu,Food insecurity,depression,Depression,-0.1043,0.1028,0.31039554290548044,-0.3058,0.0972,0.4169,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodinsecu,Food insecurity,casthma,Asthma,0.2964,0.0747,7.305509043330521e-05,0.1499,0.4429,0.6073,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodinsecu,Food insecurity,obesity,Obesity,0.1689,0.0799,0.03454551519205184,0.0123,0.3255,0.6585,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodinsecu,Food insecurity,chd,Coronary heart disease,0.4327,0.0375,8.178503234106363e-31,0.3592,0.5062,0.7729,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodinsecu,Food insecurity,copd,COPD,0.5676,0.051,9.964614618747077e-29,0.4676,0.6676,0.8085,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,foodinsecu,Food insecurity,stroke,Stroke,0.6145,0.0317,1.7293050208842212e-83,0.5523,0.6767,0.8286,48798
medicaid_expanded,Medicaid Expansion,1,Expanded,housinsecu,Housing insecurity,diabetes,Diabetes,0.5552,0.024,1.2697506182438509e-118,0.5082,0.6022,0.7704,48798
